precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"NĂSTASE GHEORGHE-PARTIDUL NAȚIONAL LIBERAL-voturi","ALEXE VASILE-ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","VISTERNEANU ELENA-PARTIDUL SOCIAL DEMOCRAT-voturi","ENE ALINA-VALENTINA-PARTIDUL REÎNNOIM PROIECTUL EUROPEAN AL ROMÂNIEI-voturi"
38,TULCEA,"GRĂDINIȚA CU PROGRAM NORMAL PARCHEȘ",186,SOMOVA,161302,1,PART,PRCNCT,P,P_SV,"2024-06-10 02:44:01",631,627,2,2,0,314,311,1,2,0,301,13,694,380,161,14,103,23
38,TULCEA,"ŞCOALA GIMNAZIALĂ MINERI",185,SOMOVA,161302,1,PART,PRCNCT,P,P_SV,"2024-06-10 04:59:11",1637,1634,1,2,0,816,813,1,2,0,796,20,1805,989,433,70,170,123
38,TULCEA,"ȘCOALA GIMNAZIALĂ ”TRAIAN COȘOVEI’’ SOMOVA",184,SOMOVA,161302,1,PROV,PRCNCT,P,P_SV,"2024-06-10 04:35:08",2041,2026,3,10,2,1076,1061,3,10,2,1058,18,2235,1154,713,40,180,125
