precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"BÎRSANU MARIAN-ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","RADI ION-PARTIDUL SOCIAL DEMOCRAT-voturi","DEDIU ALEXANDRU-DOREL-PARTIDUL NAȚIONAL LIBERAL-voturi","ZOTICA SIMONA-MARIA-PARTIDUL S.O.S. ROMÂNIA-voturi"
40,VÂLCEA,"ŞCOALA GIMNAZIALĂ ACHIM POPESCU",329,PĂUŞEŞTI-MĂGLAŞI,172082,1,PROV,PRCNCT,P,P_SV,"2024-06-10 05:32:10",1320,1309,2,4,5,836,827,0,4,5,814,22,1440,604,39,362,399,14
40,VÂLCEA,"ŞCOALA GIMNAZIALĂ ACHIM POPESCU",328,PĂUŞEŞTI-MĂGLAŞI,172082,1,PART,PRCNCT,P,P_SV,"2024-06-10 06:20:16",1132,1119,1,8,4,733,721,0,8,4,702,31,1230,497,37,360,281,24
40,VÂLCEA,"ŞCOALA PRIMARĂ VALEA CHEII",330,PĂUŞEŞTI-MĂGLAŞI,172082,1,PART,PRCNCT,P,P_SV,"2024-06-10 04:38:31",904,898,1,3,2,439,433,1,3,2,423,16,990,551,17,259,130,17
