precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"BAICU DUMITRU-PARTIDUL SOCIAL DEMOCRAT-voturi","BĂRĂITARU CONSTANTIN-MARIUS-PARTIDUL NAȚIONAL LIBERAL-voturi"
27,MEHEDINŢI,"CĂMINUL CULTURAL GÂRLA MARE",175,"GÂRLA MARE",111783,1,PART,PRCNCT,P,P_SV,"2024-06-10 14:52:04",1721,1570,2,81,68,956,806,1,81,68,923,33,1721,765,295,628
27,MEHEDINŢI,"CĂMINUL CULTURAL GÂRLA MARE",176,"GÂRLA MARE",111783,3,PART,PRCNCT,P,P_SV,"2024-06-10 14:42:01",1274,1101,1,137,35,766,593,1,137,35,733,33,1207,441,319,414
