precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"PARTIDUL NAȚIONAL LIBERAL-voturi","PARTIDUL SOCIAL DEMOCRAT-voturi","ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","PARTIDUL ECOLOGIST ROMÂN-voturi","PARTIDUL UMANIST SOCIAL LIBERAL-voturi"
35,SUCEAVA,"CAMIN CULTURAL BRASCA",367,ILIŞEŞTI,147660,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 01:19:30",331,320,0,11,0,180,169,0,11,0,176,4,537,357,95,41,36,2,2
35,SUCEAVA,"PRIMARIA ILISESTI",366,ILIŞEŞTI,147660,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 09:28:13",2016,1984,2,6,24,1096,1066,0,6,24,1063,33,2000,904,380,479,173,22,9
