precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"ALEXANDRESCU DORIN-PARTIDUL SOCIAL DEMOCRAT-voturi","IGNĂTESCU CIPRIAN-GABRIEL-ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","DUMITRIU ALEXANDRU-PARTIDUL NAȚIONAL LIBERAL-voturi","MIHALACHE EMANUEL-PARTIDUL OAMENILOR TINERI-voturi","LUNGU IOAN-VIOREL-ALIANȚA DREAPTA UNITĂ USR - PMP - FORȚA DREPTEI-voturi","PRISECARU SAMUEL-PARTIDUL S.O.S. ROMÂNIA-voturi"
7,BOTOŞANI,"CLĂDIRE ȘCOALĂ(GRĂDINIȚĂ) SATU NOU",106,"MUNICIPIUL DOROHOI",36006,2,PART,PRCNCT,P,P_SV,"2024-06-10 14:11:05",692,685,0,7,0,332,325,0,7,0,322,10,800,468,152,10,146,3,1,10
7,BOTOŞANI,"CLĂDIRE ȘCOALĂ LOTURI ENESCU",107,"MUNICIPIUL DOROHOI",36006,1,PART,PRCNCT,P,P_SV,"2024-06-10 03:03:58",361,354,0,7,0,184,177,0,7,0,180,4,400,216,116,9,46,3,1,5
7,BOTOŞANI,"COLEGIUL NAȚIONAL ”GRIGORE GHICA” DOROHOI",86,"MUNICIPIUL DOROHOI",36006,1,PART,PRCNCT,P,P_SV,"2024-06-10 07:59:48",1247,1241,1,5,0,542,536,1,5,0,536,6,1400,858,362,17,132,6,13,6
7,BOTOŞANI,"COLEGIUL NAȚIONAL”GRIGORE GHICA”DOROHOI",87,"MUNICIPIUL DOROHOI",36006,1,PART,PRCNCT,P,P_SV,"2024-06-10 06:42:14",1026,1018,1,6,1,432,425,0,6,1,427,5,1200,768,276,8,129,3,9,2
7,BOTOŞANI,"COLEGIUL NAȚIONAL ”GRIGORE GHICA ”DOROHOI-CORP II",92,"MUNICIPIUL DOROHOI",36006,3,PART,PRCNCT,P,P_SV,"2024-06-11 13:52:02",1097,1089,1,5,2,442,434,1,5,2,438,4,1225,783,278,15,126,5,7,7
7,BOTOŞANI,"GRĂDINIȚA CU PROGRAM PRELUNGIT ” ALBA CA ZĂPADA” DOROHOI",101,"MUNICIPIUL DOROHOI",36006,5,PART,PRCNCT,P,P_SV,"2024-06-10 18:03:39",1045,1042,1,2,0,368,366,0,2,0,354,14,1193,825,238,14,85,6,3,8
7,BOTOŞANI,"GRĂDINIȚA CU PROGRAM PRELUNGIT”ALBA CA ZĂPADA” DOROHOI",102,"MUNICIPIUL DOROHOI",36006,1,PART,PRCNCT,P,P_SV,"2024-06-11 12:05:15",1278,1273,0,5,0,544,539,0,5,0,534,10,1385,841,354,13,134,3,14,16
7,BOTOŞANI,"GRĂDINIȚA CU PROGRAM PRELUNGIT NR.6 DOROHOI(PREȘCOLAR)",88,"MUNICIPIUL DOROHOI",36006,5,PART,PRCNCT,P,P_SV,"2024-06-10 11:04:03",1668,1660,0,8,0,739,731,0,8,0,731,8,1800,1061,492,27,184,9,12,7
7,BOTOŞANI,"LICEUL ”REGINA MARIA” DOROHOI",98,"MUNICIPIUL DOROHOI",36006,5,PART,PRCNCT,P,P_SV,"2024-06-10 09:57:46",1142,1132,0,8,2,519,509,0,8,2,510,9,1300,781,364,16,108,5,10,7
7,BOTOŞANI,"LICEUL ”REGINA MARIA” DOROHOI",97,"MUNICIPIUL DOROHOI",36006,5,PART,PRCNCT,P,P_SV,"2024-06-10 09:03:32",1304,1295,2,7,0,561,554,0,7,0,545,16,1488,927,388,21,109,5,12,10
