precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"DOROBANŢU VALENTIN-ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","PAVEL ION-PARTIDUL SOCIAL DEMOCRAT-voturi","BUDOIU IULIAN-PARTIDUL NAȚIONAL LIBERAL-voturi","IANCU SORIN-ALIANȚA DREAPTA UNITĂ USR - PMP - FORȚA DREPTEI-voturi"
16,DÂMBOVIŢA,"CAMIN CULTURAL",158,BUCIUMENI,66438,1,PART,PRCNCT,P,P_SV,"2024-06-10 02:25:21",959,923,0,3,33,565,529,0,3,33,555,10,1050,485,3,536,16,0
16,DÂMBOVIŢA,"CAMIN CULTURAL",156,BUCIUMENI,66438,1,PROV,PRCNCT,P,P_SV,"2024-06-10 05:15:06",1439,1411,3,1,24,793,767,1,1,24,776,17,1592,799,40,639,64,33
16,DÂMBOVIŢA,"ṢCOALA GENERALĂ",157,BUCIUMENI,66438,1,PART,PRCNCT,P,P_SV,"2024-06-10 03:39:53",1100,1084,0,3,13,512,496,0,3,13,497,15,1210,698,35,395,35,32
