precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"UNIUNEA DEMOCRATĂ MAGHIARĂ DIN ROMÂNIA-voturi","PARTIDUL NAȚIONAL LIBERAL-voturi","PARTIDUL SOCIAL DEMOCRAT-voturi","UNIUNEA UCRAINENILOR DIN ROMÂNIA-voturi","ALIANȚA MAGHIARĂ DIN TRANSILVANIA - ERDÉLYI MAGYAR SZÖVETSÉG-voturi","FORȚA DREPTEI-voturi"
32,"SATU MARE","PRIMARIA AGRIS",123,AGRIŞ,179873,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 06:38:13",898,882,0,6,10,580,564,0,6,10,551,29,992,412,323,29,5,7,176,11
32,"SATU MARE","ȘCOALA GENERALĂ AGRIȘ",124,AGRIŞ,179873,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 01:31:11",273,267,0,6,0,122,116,0,6,0,114,8,298,176,19,36,19,5,1,34
32,"SATU MARE","ŞCOALA PRIMARĂ CIUPERCENI",125,AGRIŞ,179873,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 03:33:49",510,494,0,15,1,288,272,0,15,1,277,10,525,218,84,118,18,22,27,8
