precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","PARTIDUL NAȚIONAL LIBERAL-voturi","PARTIDUL SOCIAL DEMOCRAT-voturi","UNIUNEA SALVAȚI ROMÂNIA-voturi","GHEORGHE ION-voturi"
40,VÂLCEA,"FOSTA ŞCOALA VERDEA",392,SUTEŞTI,173597,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 03:24:17",430,412,0,7,11,314,296,0,7,11,304,10,470,156,29,189,79,1,6
40,VÂLCEA,"ṢCOALA GIMNAZIALĂ SUTEŞTI",391,SUTEŞTI,173597,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 08:08:09",1228,1162,2,33,31,817,752,1,33,31,779,38,1320,503,33,558,135,21,32
