precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"PARTIDUL SOCIAL DEMOCRAT-voturi","ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","PARTIDUL NAȚIONAL LIBERAL-voturi","FORȚA DREPTEI-voturi","PARTIDUL MIȘCAREA POPULARĂ-voturi"
11,CARAŞ-SEVERIN,"CĂMINUL CULTURAL EZERIȘ",240,EZERIŞ,52758,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 04:46:27",542,522,1,5,14,306,286,1,5,14,297,9,590,284,189,19,47,13,29
11,CARAŞ-SEVERIN,"CĂMINUL CULTURAL SOCENI",241,EZERIŞ,52758,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 02:20:01",595,567,0,4,24,370,342,0,4,24,360,10,621,251,270,18,11,60,1
