precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"MIHĂESCU MUGUR-ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","OPRESCU MARIUS-PARTIDUL SOCIAL DEMOCRAT-voturi","OPROIU IONEL-EMANUEL-PARTIDUL NAȚIONAL LIBERAL-voturi","ŢIU MIHAI-ADRIAN-PARTIDUL S.O.S. ROMÂNIA-voturi","DOAGĂ MARIAN-EMANUEL-ALIANȚA DREAPTA UNITĂ USR - FORȚA DREPTEI-voturi"
30,OLT,"GRĂDINIȚA CU PROGRAM PRELUNGIT NR.4",59,"MUNICIPIUL CARACAL",125472,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 06:43:23",1486,1477,0,5,4,678,669,0,5,4,638,40,1629,951,99,365,131,0,43
30,OLT,"GRĂDINIȚA CU PROGRAM PRELUNGIT NR. 8",37,"MUNICIPIUL SLATINA",125347,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 06:37:00",1060,1049,1,10,0,501,491,0,10,0,487,14,1153,652,82,166,163,32,44
30,OLT,"GRĂDINIȚA CU PROGRAM PRELUNGIT NR. 8",38,"MUNICIPIUL SLATINA",125347,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 06:08:09",1529,1520,4,5,0,686,681,0,5,0,652,30,1669,987,110,217,238,38,49
30,OLT,"GRĂDINIŢA DE COPII",364,VIŞINA,129898,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 05:51:42",1214,1141,1,6,66,795,723,0,6,66,766,29,1326,531,92,552,65,25,32
30,OLT,"GRĂDINIŢA DE COPII",363,VIŞINA,129898,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 05:18:04",1066,991,0,1,74,669,594,0,1,74,639,30,1170,501,77,467,60,18,17
30,OLT,"GRADINITA FARCASELE",197,FĂRCAŞELE,127019,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 04:33:05",947,934,0,3,10,557,544,0,3,10,504,53,1030,462,64,253,122,50,15
30,OLT,"GRADINITA FARCASU DE JOS",198,FĂRCAŞELE,127019,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 04:54:33",1410,1392,1,2,15,863,846,0,2,15,804,59,1550,687,84,433,203,69,15
30,OLT,"GRĂDINIȚA GĂNEASA",201,GĂNEASA,127064,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 07:01:08",1521,1461,0,32,28,983,923,0,32,28,899,39,1630,692,90,589,162,32,26
30,OLT,"GRĂDINIȚĂ GRECI",303,SCHITU,128659,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 03:48:31",750,727,0,15,8,497,474,0,15,8,476,21,795,298,48,351,28,30,19
30,OLT,"GRĂDINIŢA IANCA NOUĂ",329,"ŞTEFAN CEL MARE",129282,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 05:17:49",471,430,0,22,19,360,319,0,22,19,336,22,470,112,16,153,153,4,10
30,OLT,"GRĂDINIŢA MILCOVENI",161,CORBU,126326,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 05:00:49",367,323,0,28,16,353,309,0,28,16,285,22,370,63,31,116,127,6,5
30,OLT,"GRADINITA MOGOSESTI",118,"ORAŞ SCORNICEŞTI",128711,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 03:29:44",441,416,1,19,5,291,267,0,19,5,277,14,460,169,32,223,6,10,6
30,OLT,"GRADINITA PIATRA",106,"ORAŞ PIATRA-OLT",128105,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 02:38:39",965,933,0,20,12,655,623,0,20,12,635,20,1026,371,51,485,63,27,9
30,OLT,"GRĂDINIŢA SAT VÎRTOPU,CORP 2",92,"ORAŞ CORABIA",125542,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 08:22:51",316,298,0,18,0,178,160,0,18,0,161,17,331,153,26,97,24,5,9
30,OLT,"GRĂDINIŢA ŞERBĂNEŞTII DE SUS",326,ŞERBĂNEŞTI,129246,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 05:25:36",613,591,1,17,4,367,346,0,17,4,345,22,659,292,63,183,74,12,13
30,OLT,"GRĂDINIŢA SLĂTIOARA",307,SLĂTIOARA,125374,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 08:06:06",998,904,1,63,30,749,655,1,63,30,727,21,1025,264,51,456,135,54,31
30,OLT,"GRĂDINIŢA SLĂTIOARA",306,SLĂTIOARA,125374,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 06:59:09",1045,990,1,50,4,783,729,0,50,4,760,23,1085,302,77,339,267,42,35
30,OLT,"GRADINITA ȘUICA",120,"ORAŞ SCORNICEŞTI",128711,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 00:41:59",195,175,0,15,5,153,133,0,15,5,150,3,194,41,9,129,2,6,4
30,OLT,"GRADINITA TEIUS",121,"ORAŞ SCORNICEŞTI",128711,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 06:17:54",464,449,3,7,5,324,311,1,7,5,311,12,499,176,25,255,10,15,6
30,OLT,"GRADINITA VALEA MARE",348,"VALEA MARE",129656,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 07:09:04",1288,1242,0,29,17,840,794,0,29,17,807,33,1354,514,203,339,216,22,27
30,OLT,"GRUPUL SCOLAR AGRICOL SCORNICEŞTI",111,"ORAŞ SCORNICEŞTI",128711,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 11:10:14",1673,1638,3,27,5,1007,975,0,27,5,948,59,1855,815,150,558,158,50,32
30,OLT,JITARU,116,"ORAŞ SCORNICEŞTI",128711,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 04:09:40",873,832,4,31,6,645,607,1,31,6,638,7,815,170,3,609,26,0,0
30,OLT,"LICEUL CU PROGRAM SPORTIV",27,"MUNICIPIUL SLATINA",125347,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 11:32:06",1725,1680,0,16,29,816,771,0,16,29,795,21,1855,1039,104,337,275,27,52
30,OLT,"LICEUL CU PROGRAM SPORTIV",28,"MUNICIPIUL SLATINA",125347,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 07:26:26",1575,1566,0,9,0,793,784,0,9,0,776,17,1718,920,110,298,264,25,79
30,OLT,"LICEUL CU PROGRAM SPORTIV",29,"MUNICIPIUL SLATINA",125347,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 17:17:01",1413,1401,1,10,1,653,642,0,10,1,634,19,1539,886,80,250,218,37,49
30,OLT,"LICEUL IANCU JIANU",227,"IANCU JIANU",127288,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 07:05:33",1265,1247,0,8,10,689,671,0,8,10,662,27,1385,696,73,460,51,20,58
30,OLT,"LICEUL MIHAI VITEAZUL",53,"MUNICIPIUL CARACAL",125472,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 08:20:16",1288,1233,1,7,47,625,571,0,7,47,550,75,1410,785,75,319,107,0,49
30,OLT,"LICEUL ”ŞTEFAN DIACONESCU” POTCOAVA",109,"ORAŞ POTCOAVA",128374,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 09:05:27",1129,1107,0,12,10,850,828,0,12,10,777,73,1239,389,198,500,27,46,6
30,OLT,"LICEUL ”ŞTEFAN DIACONESCU” POTCOAVA",108,"ORAŞ POTCOAVA",128374,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 09:14:12",1188,1163,2,14,9,845,821,1,14,9,802,43,1282,433,260,436,54,34,18
30,OLT,"LICEUL TEHNOLOGIC ALEXE MARIN",45,"MUNICIPIUL SLATINA",125347,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 06:03:43",1541,1533,3,5,0,766,761,0,5,0,748,18,1680,914,98,283,272,33,62
30,OLT,"LICEUL TEHNOLOGIC ALEXE MARIN",44,"MUNICIPIUL SLATINA",125347,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 04:47:52",1412,1398,0,14,0,678,664,0,14,0,639,39,1531,853,78,241,224,22,74
30,OLT,"LICEUL TEHNOLOGIC ALEXE MARIN",43,"MUNICIPIUL SLATINA",125347,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 05:37:25",1396,1390,0,6,0,660,654,0,6,0,642,18,1514,854,109,216,232,31,54
30,OLT,"LICEUL TEHNOLOGIC CONSTANTIN FILIPESCU",52,"MUNICIPIUL CARACAL",125472,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 10:00:28",1800,1788,3,6,3,759,750,0,6,3,719,40,1969,1172,145,415,90,31,38
30,OLT,"LICEUL TEHNOLOGIC CRÎMPOIA",164,CRÂMPOIA,126406,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 02:48:09",1062,1038,0,4,20,620,601,0,4,15,591,29,1165,545,81,404,62,22,22
