precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","PARTIDUL NAȚIONAL LIBERAL-voturi","PARTIDUL SOCIAL DEMOCRAT-voturi","PARTIDUL S.O.S. ROMÂNIA-voturi"
10,BUZĂU,"CENTRU EDUCAȚIONAL MULTIFUNCȚIONAL ”ÎMPREUNĂ”",287,MIHĂILEŞTI,47578,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 06:55:28",947,894,0,8,45,591,538,0,8,45,554,37,1031,440,46,105,381,22
10,BUZĂU,"ŞCOALA PRIMARA MĂRGINEANU",288,MIHĂILEŞTI,47578,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 03:55:24",672,643,0,8,21,448,419,0,8,21,435,13,725,277,101,44,280,10
