precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","PARTIDUL NAȚIONAL LIBERAL-voturi","PARTIDUL SOCIAL DEMOCRAT-voturi","UNIUNEA SALVAȚI ROMÂNIA-voturi","PARTIDUL NAȚIONAL CONSERVATOR ROMÂN-voturi"
18,GALAŢI,"CAMINUL CULTURAL DIN SATUL DRĂGĂNEŞTI",287,DRĂGĂNEŞTI,75221,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 15:00:30",1998,1986,0,6,6,918,906,0,6,6,855,63,2120,1202,66,411,290,37,51
18,GALAŢI,"SCOALA DIN MALU ALB",288,DRĂGĂNEŞTI,75221,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 07:57:49",1684,1662,0,7,15,843,821,0,7,15,808,35,1771,928,65,410,275,30,28
18,GALAŢI,"SCOALA DIN SATUL DRĂGĂNEŞTI",286,DRĂGĂNEŞTI,75221,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 05:13:01",1814,1791,0,8,15,823,800,0,8,15,782,41,2100,1277,103,362,273,25,19
