precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"PARTIDUL SOCIAL DEMOCRAT-voturi","UNIUNEA DEMOCRATĂ MAGHIARĂ DIN ROMÂNIA-voturi","PARTIDUL NAȚIONAL LIBERAL-voturi"
1,ALBA,"CĂMIN CULTURAL LEORINȚ",351,RĂDEŞTI,6547,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 02:44:01",267,244,0,16,7,214,191,0,16,7,207,7,281,67,8,86,113
1,ALBA,"ȘCOALA GIMNAZIALĂ ”DEMETRIU RADU” RĂDEȘTI",350,RĂDEŞTI,6547,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 02:22:56",569,527,1,24,17,418,376,1,24,17,403,15,604,186,62,15,326
1,ALBA,"ŞCOALA PRIMARĂ MEŞCREAC",352,RĂDEŞTI,6547,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 03:34:49",265,242,1,18,4,196,173,1,18,4,191,5,273,77,17,5,169
