precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","UNIUNEA SALVAȚI ROMÂNIA-voturi","PARTIDUL SOCIAL DEMOCRAT-voturi","PARTIDUL NAȚIONAL LIBERAL-voturi","COMŞA VASILE-voturi"
1,ALBA,"PRIMĂRIA COMUNEI CRĂCIUNELU DE JOS",238,"CRĂCIUNELU DE JOS",4188,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 06:24:09",863,836,1,12,14,592,566,0,12,14,558,34,898,306,41,221,49,221,26
1,ALBA,"ŞCOALA GIMNAZIALĂ - CRĂCIUNELU DE JOS",239,"CRĂCIUNELU DE JOS",4188,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 04:05:05",915,903,0,3,9,613,601,0,3,9,572,41,1065,452,27,177,42,288,38
