precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"CĂLIN ADRIAN-COSTIN-PARTIDUL SOCIAL DEMOCRAT-voturi","STANCIU MARIAN-PARTIDUL NAȚIONAL LIBERAL-voturi","SAVU BOGDAN-MARIUS-PARTIDUL ROMÂNIA ÎN ACȚIUNE-voturi"
31,PRAHOVA,"CASA DE CULTURA RURALA",379,"COCORĂŞTII COLŢ",136241,1,PROV,PRCNCT,P,P_SV,"2024-06-10 04:40:34",1357,1346,3,3,5,787,784,0,3,0,765,22,1400,613,367,231,167
31,PRAHOVA,"SCOALA PRIMARA COCORASTII GRIND",380,"COCORĂŞTII COLŢ",136241,1,PART,PRCNCT,P,P_SV,"2024-06-10 05:14:15",965,957,0,4,4,576,568,0,4,4,559,17,1137,561,142,242,175
