precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"PARTIDUL SOCIAL DEMOCRAT-voturi","UNIUNEA DEMOCRATĂ MAGHIARĂ DIN ROMÂNIA-voturi","PARTIDUL NAȚIONAL LIBERAL-voturi","ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","ALIANȚA NAȚIONAL CREȘTINĂ-voturi","ALIANȚA DREAPTA UNITĂ USR - PMP-voturi","PARTIDUL VERDE-voturi","PARTIDUL ECOLOGIST ROMÂN-voturi","PARTIDUL S.O.S. ROMÂNIA-voturi","PARTIDUL UMANIST SOCIAL LIBERAL-voturi","PARTIDUL ROMÂNIA MARE-voturi"
20,GORJ,"CĂMIN CULTURAL",132,ARCANI,78668,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 06:10:10",1228,1096,1,67,64,835,704,1,67,63,810,25,1264,429,580,2,88,66,4,21,6,1,9,7,26
20,GORJ,"CĂMIN CULTURAL",98,"ORAŞ TÂRGU CĂRBUNEŞTI",78329,3,PROV,PRCNCT,CJ,CJ_SV,"2024-06-12 10:43:19",547,533,2,9,3,375,362,1,9,3,358,17,600,225,247,5,53,34,2,6,0,2,6,1,2
20,GORJ,"CĂMIN CULTURAL",332,VLADIMIR,82831,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 07:18:24",853,790,1,47,15,607,544,1,47,15,585,22,900,293,318,5,96,99,0,49,1,1,15,0,1
20,GORJ,"CĂMIN CULTURAL BĂLCEŞTI",155,BENGEŞTI-CIOCADIA,78873,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 09:04:45",632,617,0,13,2,404,389,0,13,2,375,29,700,296,167,2,79,116,6,5,0,0,0,0,0
20,GORJ,"CĂMIN CULTURAL BĂLEŞTI",139,BĂLEŞTI,77910,3,PROV,PRCNCT,CJ,CJ_SV,"2024-06-14 20:55:39",1736,1698,0,20,18,1176,1138,0,20,18,1073,103,1900,724,629,4,199,107,9,49,13,5,33,7,18
20,GORJ,"CĂMIN CULTURAL BENGEŞTI",154,BENGEŞTI-CIOCADIA,78873,2,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 05:01:47",287,277,0,8,2,190,180,0,8,2,183,7,300,110,121,2,33,15,1,3,0,2,1,4,1
20,GORJ,"CĂMIN CULTURAL CĂLUGĂRENI",258,PADEŞ,81095,2,PROV,PRCNCT,CJ,CJ_SV,"2024-06-13 19:37:47",878,856,1,8,13,604,583,0,8,13,583,21,1000,396,276,9,174,93,3,2,2,1,16,7,0
20,GORJ,"CĂMIN CULTURAL FRUNZA",243,LOGREŞTI,80766,2,PROV,PRCNCT,CJ,CJ_SV,"2024-06-11 19:52:18",547,530,0,13,4,369,352,0,13,4,313,56,600,231,124,5,79,75,0,27,1,1,1,0,0
20,GORJ,"CĂMIN CULTURAL JUPÎNEŞTI",232,JUPÂNEŞTI,80613,2,PROV,PRCNCT,CJ,CJ_SV,"2024-06-11 13:22:52",523,514,0,9,0,347,338,0,9,0,329,18,600,253,227,3,44,13,0,12,1,0,5,21,3
20,GORJ,"CĂMIN CULTURAL RASOVA",142,BĂLEŞTI,77910,2,PROV,PRCNCT,CJ,CJ_SV,"2024-06-14 21:20:54",447,425,0,16,6,312,290,0,16,6,303,9,477,165,173,4,50,39,2,14,4,1,10,2,4
20,GORJ,"CĂMIN CULTURAL STOLOJANI",143,BĂLEŞTI,77910,2,PROV,PRCNCT,CJ,CJ_SV,"2024-06-14 21:25:18",558,533,0,19,6,346,321,0,19,6,334,12,600,254,216,1,55,34,1,12,4,0,8,2,1
20,GORJ,"CĂMIN CULTURAL TÎRGU LOGREȘTI",242,LOGREŞTI,80766,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 05:35:07",550,524,0,18,8,350,324,0,18,8,334,16,550,200,161,3,41,93,3,3,0,0,9,20,1
20,GORJ,"CĂMINUL CULTURAL ANINIŞ",194,CRASNA,79834,2,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 08:10:47",768,764,1,3,0,477,474,0,3,0,449,28,800,323,202,8,79,117,2,9,4,2,13,3,10
20,GORJ,"CĂMINUL CULTURAL BÂLTA",283,RUNCU,81576,3,PROV,PRCNCT,CJ,CJ_SV,"2024-06-12 12:51:52",1418,1367,0,29,22,971,920,0,29,22,959,12,1500,529,778,2,52,81,4,17,2,3,13,0,7
