precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"BUNEA MARIAN-PARTIDUL SOCIAL DEMOCRAT-voturi","DRĂGOI VALENTIN-MIHAI-ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","CORNEA BOGDAN-GIL-PARTIDUL NAȚIONAL LIBERAL-voturi","ISTRATE CONSTANTIN-ALIANȚA DREAPTA UNITĂ USR - PMP - FORȚA DREPTEI-voturi"
16,DÂMBOVIŢA,"ŞCOALA GIMNAZIALĂ PERŞINARI",327,PERŞINARI,179935,1,PROV,PRCNCT,P,P_SV,"2024-06-10 06:08:08",1143,1125,0,1,17,624,606,0,1,17,598,26,1257,633,330,66,161,41
16,DÂMBOVIŢA,"ŞCOALA GIMNAZIALĂ PERȘINARI",328,PERŞINARI,179935,1,PROV,PRCNCT,P,P_SV,"2024-06-10 06:38:52",1146,1125,0,1,20,666,645,0,1,20,645,21,1260,594,380,69,154,42
