precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"CRISTIAN CORINA-ANTONELA-ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","NEAGUE MAGDALENA-PARTIDUL SOCIAL DEMOCRAT-voturi","TIANU ION-PARTIDUL NAȚIONAL LIBERAL-voturi","CORPOREAN MARIAN-PARTIDUL PRO ROMÂNIA-voturi"
14,CONSTANŢA,"ȘCOALA GIMNAZIALĂ ”EMIL GÂRLEANU” BĂRĂGANU",382,BĂRĂGANU,63294,1,PART,PRCNCT,P,P_SV,"2024-06-10 12:34:26",935,931,0,2,2,488,484,0,2,2,477,11,1019,531,105,252,61,59
14,CONSTANŢA,"ȘCOALA GIMNAZIALĂ ”EMIL GÂRLEANU” BĂRĂGANU - ȘCOALA PRIMARĂ NR. 1 LANURILE",383,BĂRĂGANU,63294,2,PART,PRCNCT,P,P_SV,"2024-06-10 09:57:32",727,724,1,0,2,468,465,1,0,2,445,12,800,343,44,128,225,48
