precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","PARTIDUL NAȚIONAL LIBERAL-voturi","PARTIDUL UMANIST SOCIAL LIBERAL-voturi","PARTIDUL SOCIAL DEMOCRAT-voturi"
19,GIURGIU,"GRĂDINIŢA CU PROGRAM NORMAL GRĂDIŞTEA",103,COMANA,102106,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 06:06:23",1110,1043,0,19,48,693,626,0,19,48,660,33,1202,509,38,33,18,571
19,GIURGIU,"GRADINITA CU PROGRAM NORMAL NR. 1 BUDENI",101,COMANA,102106,2,PART,PRCNCT,CL,CL_SV,"2024-06-10 07:44:06",623,577,0,28,18,380,334,0,28,18,360,20,651,271,38,20,12,290
19,GIURGIU,"ŞCOALA GIMNAZIALA NR. 1 VLAD-TEPES, CORP B",104,COMANA,102106,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 04:53:25",1273,1109,2,41,121,900,737,1,41,121,900,0,1351,451,6,865,8,21
19,GIURGIU,"ȘCOALA GIMNAZIALĂ NR. 3 COMANA SALA NR. 1",99,COMANA,102106,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 04:50:16",822,736,3,26,57,570,486,1,26,57,546,24,869,299,11,17,11,507
19,GIURGIU,"ȘCOALA GIMNAZIALĂ NR. 3 COMANA SALA NR. 2",100,COMANA,102106,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 03:13:04",876,788,3,34,51,629,544,0,34,51,616,13,935,306,16,23,16,561
19,GIURGIU,"ŞCOALA GIMNAZIALA NR. 3 FALASTOACA",102,COMANA,102106,2,PART,PRCNCT,CL,CL_SV,"2024-06-10 07:01:49",630,550,1,23,56,481,402,0,23,56,463,18,669,188,28,35,34,366
