precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"EPUREANU IONEL-PARTIDUL SOCIAL DEMOCRAT-voturi","BOBOC ADIN-PARTIDUL NAȚIONAL LIBERAL-voturi","MITREA FLORIEAN-ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi"
9,BRĂILA,"CASA DE CULTURĂ ”ION THEODORESCU SION”",146,"ORAŞ IANCA",43331,1,PROV,PRCNCT,P,P_SV,"2024-06-10 07:08:12",1156,1134,0,13,9,604,591,0,4,9,577,14,1275,684,348,214,15
9,BRĂILA,"LICEUL TEORETIC ”CONSTANTIN ANGELESCU”",147,"ORAŞ IANCA",43331,1,PART,PRCNCT,P,P_SV,"2024-06-10 03:46:08",1049,1035,0,6,8,604,590,0,6,8,582,22,1160,556,307,264,11
9,BRĂILA,"LICEUL TEORETIC ”CONSTANTIN ANGELESCU”",148,"ORAŞ IANCA",43331,1,PART,PRCNCT,P,P_SV,"2024-06-10 04:37:43",1062,1031,5,3,23,583,557,0,3,23,551,32,1145,562,334,199,18
9,BRĂILA,"ȘCOALA GIMNAZIALĂ IANCA",145,"ORAŞ IANCA",43331,1,PART,PRCNCT,P,P_SV,"2024-06-10 03:06:34",1072,1065,0,7,0,596,589,0,7,0,584,12,1195,599,363,196,25
9,BRĂILA,"ȘCOALA GIMNAZIALĂ IANCA",144,"ORAŞ IANCA",43331,1,PART,PRCNCT,P,P_SV,"2024-06-10 03:57:11",982,974,0,3,5,552,544,0,3,5,538,14,1085,533,346,172,20
9,BRĂILA,"ȘCOALA GIMNAZIALĂ PERIȘORU",151,"ORAŞ IANCA",43331,1,PART,PRCNCT,P,P_SV,"2024-06-10 03:56:54",832,818,0,5,9,434,420,0,5,9,430,4,930,496,220,185,25
9,BRĂILA,"ȘCOALA GIMNAZIALĂ PLOPU",152,"ORAŞ IANCA",43331,1,PART,PRCNCT,P,P_SV,"2024-06-10 04:55:08",1221,1205,2,10,4,736,722,0,10,4,718,18,1340,604,302,395,21
9,BRĂILA,"ȘCOALA PRIMARĂ BERLEȘTI",149,"ORAŞ IANCA",43331,1,PART,PRCNCT,P,P_SV,"2024-06-10 02:26:25",248,238,1,8,1,154,145,0,8,1,151,3,265,111,69,76,6
9,BRĂILA,"ȘCOALA PRIMARĂ OPRIȘENEȘTI",150,"ORAŞ IANCA",43331,1,PART,PRCNCT,P,P_SV,"2024-06-10 03:07:22",591,580,0,11,0,355,344,0,11,0,341,14,640,285,149,183,9
9,BRĂILA,"ȘCOALA PRIMARĂ TÎRLELE FILIU",153,"ORAŞ IANCA",43331,1,PART,PRCNCT,P,P_SV,"2024-06-10 01:49:47",424,407,1,8,8,234,218,0,8,8,230,4,467,233,93,131,6
