precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"CALIMANDRUC DUMITRU-ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","PETRIA MIHAI-PARTIDUL NAȚIONAL LIBERAL-voturi","COCOREANU CONSTANTIN-PARTIDUL SOCIAL DEMOCRAT-voturi"
7,BOTOŞANI,"CĂMIN CULTURAL",390,TUDORA,39391,1,PART,PRCNCT,P,P_SV,"2024-06-10 07:58:16",1280,1239,1,9,31,709,669,0,9,31,666,43,1400,691,17,135,514
7,BOTOŞANI,"SCOALA CU CLASELE I-VIII ARINI",392,TUDORA,39391,1,PROV,PRCNCT,P,P_SV,"2024-06-10 06:43:31",1188,1151,0,1,36,583,548,0,1,34,568,15,1270,687,9,158,401
7,BOTOŞANI,"ȘCOALA TIBERIU CRUDU CORP A",391,TUDORA,39391,1,PROV,PRCNCT,P,P_SV,"2024-06-10 07:28:26",1554,1531,0,7,16,688,665,0,7,16,671,17,1700,1012,27,185,459
