precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"DAVIDESCU GICU-PARTIDUL NAȚIONAL LIBERAL-voturi","ARAMĂ VASILE-PARTIDUL SOCIAL DEMOCRAT-voturi","GHEORGHE MARIAN-PARTIDUL S.O.S. ROMÂNIA-voturi","BĂLAN GRIGORE-PARTIDUL ECOLOGIST ROMÂN-voturi"
9,BRĂILA,"SCOALA GIMNAZIALA TICHILESTI",250,TICHILEŞTI,44177,2,PART,PRCNCT,P,P_SV,"2024-06-10 13:48:25",1367,1347,1,6,13,809,790,0,6,13,783,26,1533,724,472,133,150,28
9,BRĂILA,"SCOALA GIMNAZIALA TICHILESTI",251,TICHILEŞTI,44177,2,PART,PRCNCT,P,P_SV,"2024-06-10 11:11:10",1322,1305,0,0,17,726,709,0,0,17,701,25,1458,732,453,145,89,14
9,BRĂILA,"SCOALA PRIMARA ALBINA",252,TICHILEŞTI,44177,1,PART,PRCNCT,P,P_SV,"2024-06-10 02:14:01",265,259,0,6,0,164,158,0,6,0,160,4,285,121,87,59,13,1
