precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"BIHARI EDÖMÉR-UNIUNEA DEMOCRATĂ MAGHIARĂ DIN ROMÂNIA-voturi"
15,COVASNA,"CASA CANTORIALĂ AITA MEDIE",91,"AITA MARE",63777,2,PART,PRCNCT,P,P_SV,"2024-06-10 07:49:35",636,615,3,3,15,303,286,1,3,13,239,64,700,397,239
15,COVASNA,"SEDIUL PRIMĂRIEI COMUNEI AITA MARE",90,"AITA MARE",63777,1,PART,PRCNCT,P,P_SV,"2024-06-10 03:20:38",715,689,4,8,14,379,357,0,8,14,362,17,772,393,362
