precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"MOREGA ION-ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","MITROI CRISTIAN-PARTIDUL NAȚIONAL LIBERAL-voturi","BONDOC SORIN-MARCEL-PARTIDUL SOCIAL DEMOCRAT-voturi","GEANĂ COSTINEL-VALERICĂ-FORȚA DREPTEI-voturi"
17,DOLJ,"CENTRUL SOCIAL",371,GOICEA,72640,1,PROV,PRCNCT,P,P_SV,"2024-06-10 17:51:21",1176,1035,1,86,54,780,651,0,86,43,730,50,1185,405,12,402,297,19
17,DOLJ,"GRĂDINIȚA NR.2",372,GOICEA,72640,1,PART,PRCNCT,P,P_SV,"2024-06-10 15:41:22",845,781,1,33,30,503,440,0,33,30,455,48,900,397,4,200,229,22
