precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","PARTIDUL SOCIAL DEMOCRAT-voturi","PARTIDUL NAȚIONAL LIBERAL-voturi","PARTIDUL S.O.S. ROMÂNIA-voturi","ALIANȚA PENTRU MEDGIDIA-voturi","PARTIDUL ALTERNATIVA DREAPTĂ-voturi","PARTIDUL UMANIST SOCIAL LIBERAL-voturi","PARTIDUL ROMÂNIA MARE-voturi"
14,CONSTANŢA,"ANEXA - COLEGIUL NAȚIONAL ”KEMAL ATATURK”",260,"MUNICIPIUL MEDGIDIA",60847,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 01:45:34",833,823,2,8,0,317,309,0,8,0,304,13,900,583,18,78,148,26,24,2,2,6
14,CONSTANŢA,"ANEXA - COLEGIUL NAȚIONAL ”KEMAL ATATURK”",261,"MUNICIPIUL MEDGIDIA",60847,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 02:32:38",729,722,0,7,0,316,309,0,7,0,305,11,800,484,24,59,182,14,13,7,1,5
14,CONSTANŢA,"CASA DE CULTURĂ ”I.N.ROMAN”",239,"MUNICIPIUL MEDGIDIA",60847,2,PART,PRCNCT,CL,CL_SV,"2024-06-10 05:49:10",800,792,1,6,1,350,343,0,6,1,335,15,900,550,26,92,157,16,25,10,3,6
14,CONSTANŢA,"COLEGIUL NAȚIONAL ”KEMAL ATATURK”",256,"MUNICIPIUL MEDGIDIA",60847,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 04:54:19",913,905,1,6,1,383,376,0,6,1,367,16,1000,617,47,60,177,39,27,6,6,5
14,CONSTANŢA,"COLEGIUL TEHNIC ”NICOLAE TITULESCU”",269,"MUNICIPIUL MEDGIDIA",60847,3,PART,PRCNCT,CL,CL_SV,"2024-06-10 12:34:25",1118,1110,0,8,0,535,527,0,8,0,505,30,1200,665,46,125,263,30,17,7,11,6
14,CONSTANŢA,"COLEGIUL TEHNIC ”NICOLAE TITULESCU”",268,"MUNICIPIUL MEDGIDIA",60847,4,PART,PRCNCT,CL,CL_SV,"2024-06-10 13:56:39",950,941,0,9,0,412,403,0,9,0,397,15,1000,588,40,86,215,22,14,6,5,9
14,CONSTANŢA,"GRĂDINIŢA CU PROGRAM NORMAL NR.1 -BILINGVĂ (ROM-TURCĂ)",241,"MUNICIPIUL MEDGIDIA",60847,2,PART,PRCNCT,CL,CL_SV,"2024-06-10 08:15:54",804,797,1,6,0,296,290,0,6,0,278,18,900,604,27,68,118,26,31,2,1,5
14,CONSTANŢA,"GRĂDINIŢA CU PROGRAM NORMAL NR.1 -BILINGVĂ (ROM-TURCĂ) ROMANO-TURCA",240,"MUNICIPIUL MEDGIDIA",60847,2,PART,PRCNCT,CL,CL_SV,"2024-06-10 06:47:38",756,746,1,7,2,342,333,0,7,2,318,24,800,458,29,81,156,24,19,3,4,2
14,CONSTANŢA,"GRĂDINIŢA CU PROGRAM NORMAL NR.7",273,"MUNICIPIUL MEDGIDIA",60847,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 06:41:41",1258,1248,2,8,0,563,555,0,8,0,545,18,1300,737,61,129,271,37,18,6,8,15
14,CONSTANŢA,"GRĂDINIŢA CU PROGRAM NORMAL NR.8",245,"MUNICIPIUL MEDGIDIA",60847,2,PART,PRCNCT,CL,CL_SV,"2024-06-10 09:38:14",1358,1348,0,10,0,525,515,0,10,0,481,44,1500,975,42,80,237,27,68,13,6,8
14,CONSTANŢA,"GRĂDINIȚA CU PROGRAM NORMAL VALEA DACILOR",275,"MUNICIPIUL MEDGIDIA",60847,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 04:12:39",1271,1265,2,3,1,545,541,0,3,1,524,21,1300,755,86,90,226,57,37,6,17,5
14,CONSTANŢA,"HOTEL ”STADION”",258,"MUNICIPIUL MEDGIDIA",60847,2,PART,PRCNCT,CL,CL_SV,"2024-06-10 07:04:29",842,839,0,3,0,413,410,0,3,0,404,9,897,484,42,58,246,27,12,10,3,6
14,CONSTANŢA,"HOTEL ”STADION”",259,"MUNICIPIUL MEDGIDIA",60847,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 04:31:12",960,955,1,4,0,492,488,0,4,0,478,14,1099,607,43,105,283,18,17,3,6,3
14,CONSTANŢA,"HOTEL ”STADION”",257,"MUNICIPIUL MEDGIDIA",60847,2,PART,PRCNCT,CL,CL_SV,"2024-06-10 08:13:52",839,836,0,2,1,377,374,0,2,1,366,11,900,523,25,71,214,16,25,5,4,6
