precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","PARTIDUL NAȚIONAL LIBERAL-voturi","PARTIDUL SOCIAL DEMOCRAT-voturi","PARTIDUL S.O.S. ROMÂNIA-voturi","PARTIDUL OAMENILOR TINERI-voturi","ALIANȚA DREAPTA UNITĂ USR - PMP - FORȚA DREPTEI-voturi","PARTIDUL MIȘCAREA ROMÂNIA SUVERANĂ-voturi"
7,BOTOŞANI,"BAZA SPORTIVĂ",404,VĂCULEŞTI,39612,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 11:29:08",814,766,0,14,34,505,457,0,14,34,485,20,900,395,143,98,199,24,8,5,8
7,BOTOŞANI,"SCOALA GOROVEI",403,VĂCULEŞTI,39612,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 01:24:58",32,26,0,6,0,22,16,0,6,0,22,0,32,10,5,1,15,0,0,1,0
7,BOTOŞANI,"SCOALA VACULESTI, CORP A",402,VĂCULEŞTI,39612,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 13:44:06",870,813,0,22,35,543,486,0,22,35,532,11,902,359,149,26,256,30,33,3,35
