precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"PARTIDUL SOCIAL DEMOCRAT-voturi","ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","PARTIDUL NAȚIONAL LIBERAL-voturi","PARTIDUL MIȘCAREA ROMÂNIA SUVERANĂ-voturi","PARTIDUL UMANIST SOCIAL LIBERAL-voturi","ALIANȚA DREAPTA UNITĂ USR - PMP - FORȚA DREPTEI-voturi","PARTIDUL S.O.S. ROMÂNIA-voturi"
3,ARGEŞ,"AȘEZĂMÂNTUL SOCIAL DE LA PAROHIA MĂRCUȘ",113,"MUNICIPIUL CÂMPULUNG",13490,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 05:06:45",483,475,0,8,0,275,267,0,8,0,265,10,600,325,52,20,18,0,4,166,5
3,ARGEŞ,"BIBLIOTECA JUDEŢEANĂ ARGEŞ ”DINICU GOLESCU”",1,"MUNICIPIUL PITEŞTI",13169,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 02:39:47",1207,1199,4,4,0,432,428,0,4,0,409,19,1300,868,151,36,95,5,13,94,15
3,ARGEŞ,"BIBLIOTECA MUNICIPALA ION BARBU - FILIALA GRUI",96,"MUNICIPIUL CÂMPULUNG",13490,2,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 13:41:43",1408,1400,1,7,0,701,694,0,7,0,689,12,1600,899,226,67,60,0,9,305,22
3,ARGEŞ,"CĂMIN CULTURAL ALBOTA",196,ALBOTA,13935,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 04:44:51",2044,2031,5,8,0,1301,1292,1,8,0,1250,51,2236,935,626,139,283,20,6,125,51
3,ARGEŞ,"CĂMIN CULTURAL BĂDENI",474,STOENEŞTI,18858,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 12:18:46",1398,1379,1,5,13,772,753,1,5,13,740,32,1500,728,391,65,67,0,7,192,18
3,ARGEŞ,"CĂMIN CULTURAL BĂDICENI",370,MĂLURENI,17049,2,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 04:47:36",415,402,0,9,4,274,261,0,9,4,259,15,458,184,112,31,26,0,48,35,7
3,ARGEŞ,"CĂMIN CULTURAL BĂJEŞTI",221,BĂLILEŞTI,14272,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 18:48:47",818,808,0,10,0,559,549,0,10,0,527,32,895,336,275,69,109,0,4,57,13
3,ARGEŞ,"CĂMIN CULTURAL BĂLILEŞTI",220,BĂLILEŞTI,14272,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 08:20:59",898,879,0,19,0,613,594,0,19,0,592,21,970,357,342,52,138,1,5,32,22
3,ARGEŞ,"CĂMIN CULTURAL BELEŢI",229,BELEŢI-NEGREŞTI,14352,2,PROV,PRCNCT,CJ,CJ_SV,"2024-06-12 13:29:52",527,517,3,0,7,392,383,2,0,7,376,16,578,186,110,73,148,8,0,26,11
3,ARGEŞ,"CĂMIN CULTURAL BEREVOEŞTI-PĂMÎNTENI",231,BEREVOEŞTI,14405,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 14:56:54",1632,1627,0,3,2,1094,1089,0,3,2,1043,51,1730,636,567,160,219,11,12,33,41
3,ARGEŞ,"CĂMIN CULTURAL BOTENI",240,BOTENI,14673,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 06:41:46",1411,1377,0,3,31,970,936,0,3,31,933,37,1432,462,473,211,111,3,6,102,27
3,ARGEŞ,"CĂMIN CULTURAL BRĂDETU",251,BRĂDULEŢ,14753,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 05:40:06",286,274,3,5,4,198,187,2,5,4,187,11,310,112,75,21,55,0,2,19,15
3,ARGEŞ,"CĂMIN CULTURAL BRĂDULEŢ",250,BRĂDULEŢ,14753,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 05:16:48",435,424,1,7,3,291,281,0,7,3,273,18,476,185,114,37,65,4,3,35,15
3,ARGEŞ,"CĂMIN CULTURAL BURLUŞI",296,CIOFRÂNGENI,15493,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 02:06:03",366,348,0,5,13,203,185,0,5,13,194,9,389,186,141,18,18,0,5,8,4
3,ARGEŞ,"CĂMIN CULTURAL BUZOEŞTI",263,BUZOEŞTI,14940,4,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 19:14:02",854,841,0,11,2,425,412,0,11,2,397,28,900,475,221,91,39,7,4,22,13
3,ARGEŞ,"CĂMIN CULTURAL CETĂŢENI",291,CETĂŢENI,15402,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 05:31:09",541,521,0,12,8,541,521,0,12,8,525,16,880,339,378,46,60,1,5,27,8
3,ARGEŞ,"CĂMIN CULTURAL CIOFRÎNGENI",295,CIOFRÂNGENI,15493,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 03:45:57",1007,988,0,1,18,583,564,0,1,18,561,22,1093,510,380,66,70,5,2,27,11
