precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"MICU LUCIAN-OVIDIU-PARTIDUL SOCIAL DEMOCRAT-voturi","ANCUŢA GABRIEL-COSMIN-UNIUNEA SALVAȚI ROMÂNIA-voturi","LEOREANU LAURENŢIU-DAN-PARTIDUL NAȚIONAL LIBERAL-voturi","MOLDOVANU NADIA-LENUŢA-PARTIDUL S.O.S. ROMÂNIA-voturi"
29,NEAMŢ,"CENTRUL DE ÎNGRIJIRE ŞI ASISTENŢĂ BĂTRÂNI (DISPENSAR 7)",103,"MUNICIPIUL ROMAN",120860,1,PART,PRCNCT,P,P_SV,"2024-06-10 07:21:57",1830,1818,1,9,2,979,968,0,9,2,922,57,2000,988,349,69,435,69
29,NEAMŢ,"CENTRUL DE PERMANENŢĂ DE LA DISPENSARUL MEDICAL NR. 6",83,"MUNICIPIUL ROMAN",120860,1,PART,PRCNCT,P,P_SV,"2024-06-10 04:17:02",1195,1185,1,8,1,428,419,0,8,1,415,13,1300,872,144,41,201,29
29,NEAMŢ,"COLEGIUL NAȚIONAL ”ROMAN VODĂ” - CORP A",76,"MUNICIPIUL ROMAN",120860,1,PART,PRCNCT,P,P_SV,"2024-06-10 06:54:12",1129,1123,3,3,0,491,487,1,3,0,470,21,1200,709,180,42,224,24
29,NEAMŢ,"COLEGIUL TEHNIC „DANUBIANA”",118,"MUNICIPIUL ROMAN",120860,1,PART,PRCNCT,P,P_SV,"2024-06-10 08:55:31",1230,1198,1,6,25,502,471,0,6,25,467,35,1300,798,150,18,270,29
29,NEAMŢ,"COLEGIUL TEHNIC „MIRON COSTIN”",99,"MUNICIPIUL ROMAN",120860,1,PART,PRCNCT,P,P_SV,"2024-06-10 04:58:46",1175,1166,0,9,0,322,313,0,9,0,303,19,1300,978,127,13,138,25
29,NEAMŢ,"COLEGIUL TEHNIC „PETRU PONI” - CORP A",112,"MUNICIPIUL ROMAN",120860,1,PART,PRCNCT,P,P_SV,"2024-06-10 08:51:17",1128,1118,0,9,1,434,424,0,9,1,412,22,1200,766,149,47,195,21
29,NEAMŢ,"COLEGIUL TEHNIC „PETRU PONI” - CORP B",113,"MUNICIPIUL ROMAN",120860,1,PART,PRCNCT,P,P_SV,"2024-06-10 10:19:28",1403,1386,9,8,0,613,605,0,8,0,581,32,1500,887,230,58,244,49
29,NEAMŢ,"CREŞA SMIRODAVA",96,"MUNICIPIUL ROMAN",120860,1,PART,PRCNCT,P,P_SV,"2024-06-10 07:54:03",1303,1297,2,4,0,496,491,1,4,0,471,25,1400,904,168,45,223,35
29,NEAMŢ,"DIRECŢIA DE ASISTENŢĂ SOCIALĂ ROMAN",104,"MUNICIPIUL ROMAN",120860,1,PART,PRCNCT,P,P_SV,"2024-06-10 05:27:55",1021,1011,3,7,0,412,405,0,7,0,396,16,1100,688,154,30,190,22
29,NEAMŢ,"GRĂDINIŢA DE COPII NR. 1 CU PROGRAM PRELUNGIT",98,"MUNICIPIUL ROMAN",120860,1,PART,PRCNCT,P,P_SV,"2024-06-10 06:15:43",1335,1329,1,4,1,497,492,0,4,1,480,17,1521,1024,166,41,238,35
29,NEAMŢ,"GRĂDINIŢA DE COPII NR. 1 CU PROGRAM PRELUNGIT",97,"MUNICIPIUL ROMAN",120860,2,PART,PRCNCT,P,P_SV,"2024-06-10 13:24:57",1349,1343,0,6,0,531,525,0,6,0,509,17,1500,969,216,39,221,33
29,NEAMŢ,"GRĂDINIȚA DE COPII NR. 2 CU PROGRAM PRELUNGIT",77,"MUNICIPIUL ROMAN",120860,1,PART,PRCNCT,P,P_SV,"2024-06-10 07:07:08",1135,1086,1,8,40,551,503,0,8,40,520,31,1300,749,239,47,204,30
29,NEAMŢ,"GRĂDINIŢA DE COPII NR. 4 CU PROGRAM NORMAL",94,"MUNICIPIUL ROMAN",120860,2,PART,PRCNCT,P,P_SV,"2024-06-10 04:41:16",1307,1299,2,3,3,533,527,0,3,3,512,21,1400,867,205,31,241,35
29,NEAMŢ,"GRĂDINIŢA DE COPII NR. 5 CU PROGRAM NORMAL",109,"MUNICIPIUL ROMAN",120860,1,PART,PRCNCT,P,P_SV,"2024-06-10 07:11:47",1399,1394,1,4,0,561,557,0,4,0,541,20,1500,939,212,56,237,36
29,NEAMŢ,"GRĂDINIŢA DE COPII NR. 5 CU PROGRAM PRELUNGIT",95,"MUNICIPIUL ROMAN",120860,1,PART,PRCNCT,P,P_SV,"2024-06-10 06:57:48",1467,1460,2,4,1,607,602,0,4,1,582,25,1600,993,222,58,269,33
29,NEAMŢ,"GRĂDINIŢA DE COPII NR. 6 CU PROGRAM NORMAL",84,"MUNICIPIUL ROMAN",120860,2,PART,PRCNCT,P,P_SV,"2024-06-10 06:45:16",1389,1384,0,5,0,551,546,0,5,0,518,33,1500,948,198,49,236,35
29,NEAMŢ,"GRĂDINIŢA DE COPII NR. 6 CU PROGRAM PRELUNGIT",78,"MUNICIPIUL ROMAN",120860,1,PART,PRCNCT,P,P_SV,"2024-06-10 05:19:40",1189,1179,1,9,0,502,493,0,9,0,479,23,1300,798,179,30,234,36
29,NEAMŢ,"LICEUL CU PROGRAM SPORTIV",100,"MUNICIPIUL ROMAN",120860,1,PART,PRCNCT,P,P_SV,"2024-06-10 06:31:53",1016,1005,2,9,0,412,403,0,9,0,395,17,1100,688,144,38,191,22
29,NEAMŢ,"LICEUL TEHNOLOGIC „VASILE SAV”",86,"MUNICIPIUL ROMAN",120860,1,PART,PRCNCT,P,P_SV,"2024-06-10 03:47:52",953,944,0,8,1,386,377,0,8,1,365,21,1100,714,95,32,207,31
29,NEAMŢ,"LICEUL TEHNOLOGIC „VASILE SAV”",85,"MUNICIPIUL ROMAN",120860,1,PART,PRCNCT,P,P_SV,"2024-06-10 03:59:28",1018,1013,1,4,0,347,343,0,4,0,339,8,1100,753,133,38,141,27
29,NEAMŢ,"LICEUL TEOLOGIC „EPISCOP MELCHISEDEC”",105,"MUNICIPIUL ROMAN",120860,1,PART,PRCNCT,P,P_SV,"2024-06-10 05:41:00",1236,1225,0,10,1,506,495,0,10,1,469,20,1400,911,186,34,212,37
