precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"ANDRONACHE EMANOEL-ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","TIRINTICĂ SEBASTIAN-UNIUNEA SALVAȚI ROMÂNIA-voturi","ROŞULESCU MARIAN-OVIDIU-PARTIDUL NAȚIONAL LIBERAL-voturi","JURCA VASILE-PARTIDUL SOCIAL DEMOCRAT-voturi","BUŢURCA ADRIAN-ANDREI-PARTIDUL ALTERNATIVA DREAPTĂ-voturi"
22,HUNEDOARA,"CASA DE CULTURĂ „LADISLAU SCHMIDT”",222,"ORAŞ PETRILA",87077,2,PART,PRCNCT,P,P_SV,"2024-06-10 09:41:19",1367,1359,0,7,1,547,539,0,7,1,519,28,1600,1053,83,39,55,329,13
22,HUNEDOARA,"CASA PENSIONARILOR LONEA",233,"ORAŞ PETRILA",87077,2,PART,PRCNCT,P,P_SV,"2024-06-10 05:43:34",1190,1172,6,11,1,598,582,4,11,1,577,21,1200,602,82,24,39,415,17
22,HUNEDOARA,"CLUBUL COPIILOR PETRILA",226,"ORAŞ PETRILA",87077,2,PART,PRCNCT,P,P_SV,"2024-06-10 07:40:01",1275,1268,0,7,0,481,474,0,7,0,453,28,1400,919,55,47,54,290,7
22,HUNEDOARA,"COLEGIUL TEHNIC „CONSTANTIN BRÂNCUȘI” PETRILA",232,"ORAŞ PETRILA",87077,2,PART,PRCNCT,P,P_SV,"2024-06-10 02:42:10",961,955,0,6,0,499,493,0,6,0,482,17,1233,734,100,21,35,317,9
22,HUNEDOARA,"COLEGIUL TEHNIC „CONSTANTIN BRÂNCUȘI” PETRILA (FOSTA GRĂDINIȚĂ CU PROGRAM NORMAL „ANA COLDA”)",235,"ORAŞ PETRILA",87077,2,PART,PRCNCT,P,P_SV,"2024-06-10 08:11:51",1164,1153,0,5,6,565,554,0,5,6,549,16,1200,635,79,28,25,400,17
22,HUNEDOARA,"COLEGIUL TEHNIC „CONSTANTIN BRÂNCUȘI” PETRILA (FOSTA ȘCOALĂ GIMNAZIALĂ „ANA COLDA”)",234,"ORAŞ PETRILA",87077,2,PART,PRCNCT,P,P_SV,"2024-06-10 04:15:27",1332,1324,0,7,1,576,568,0,7,1,558,18,1400,824,77,16,47,405,13
22,HUNEDOARA,"DIRECȚIA DE ASISTENȚĂ SOCIALĂ PETRILA",231,"ORAŞ PETRILA",87077,2,PART,PRCNCT,P,P_SV,"2024-06-10 05:16:36",1234,1225,0,9,0,445,436,0,9,0,425,20,1400,955,87,17,29,284,8
22,HUNEDOARA,"ȘCOALA GIMNAZIALĂ „ION DESIDERIU SÎRBU” PETRILA",225,"ORAŞ PETRILA",87077,2,PART,PRCNCT,P,P_SV,"2024-06-10 08:30:24",1173,1164,1,8,0,468,460,0,8,0,454,14,1200,732,80,33,34,297,10
22,HUNEDOARA,"ȘCOALA GIMNAZIALĂ „ION DESIDERIU SÎRBU” PETRILA (GRĂDINIȚA CU PROGRAM NORMAL „I.D.SÎRBU”)",224,"ORAŞ PETRILA",87077,2,PART,PRCNCT,P,P_SV,"2024-06-10 06:43:52",1302,1289,1,10,2,512,500,0,10,2,482,30,1400,888,57,39,53,312,21
22,HUNEDOARA,"ȘCOALA GIMNAZIALĂ „ION DESIDERIU SÎRBU” PETRILA (GRĂDINIȚA CU PROGRAM NORMAL „I.D.SÎRBU”)",223,"ORAŞ PETRILA",87077,2,PART,PRCNCT,P,P_SV,"2024-06-10 09:12:11",1337,1328,0,8,1,524,515,0,8,1,515,9,1600,1076,104,39,52,280,40
22,HUNEDOARA,"ȘCOALA GIMNAZIALĂ NR. 5 PETRILA",229,"ORAŞ PETRILA",87077,2,PART,PRCNCT,P,P_SV,"2024-06-10 04:59:47",1316,1304,1,10,1,444,433,0,10,1,427,17,1400,956,87,34,29,271,6
22,HUNEDOARA,"ȘCOALA GIMNAZIALĂ NR. 5 PETRILA",230,"ORAŞ PETRILA",87077,2,PART,PRCNCT,P,P_SV,"2024-06-10 08:00:54",1222,1214,0,8,0,452,444,0,8,0,424,21,1400,955,66,18,34,286,20
22,HUNEDOARA,"ȘCOALA GIMNAZIALĂ NR. 6 PETRILA",227,"ORAŞ PETRILA",87077,2,PART,PRCNCT,P,P_SV,"2024-06-10 12:13:27",1150,1144,1,5,0,441,435,1,5,0,421,19,1200,760,72,52,40,246,11
22,HUNEDOARA,"ȘCOALA GIMNAZIALĂ NR. 6 PETRILA",228,"ORAŞ PETRILA",87077,2,PART,PRCNCT,P,P_SV,"2024-06-10 07:12:19",871,865,2,4,0,324,320,0,4,0,315,9,1000,676,50,23,31,196,15
22,HUNEDOARA,"ȘCOALA PRIMARĂ NR. 3 PETRILA",236,"ORAŞ PETRILA",87077,2,PART,PRCNCT,P,P_SV,"2024-06-10 10:38:38",1335,1322,1,12,0,806,794,0,12,0,776,30,1400,594,54,9,32,673,8
22,HUNEDOARA,"ȘCOALA PRIMARĂ NR. 4 PETRILA",237,"ORAŞ PETRILA",87077,2,PART,PRCNCT,P,P_SV,"2024-06-10 04:27:52",552,545,0,7,0,342,335,0,7,0,330,12,800,458,20,7,19,279,5
