precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"GODEANU TEODOR-PARTIDUL SOCIAL DEMOCRAT-voturi","NIŢĂ NICOLAE-MARIUS-ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","POPESCU GHEORGHE-PARTIDUL NAȚIONAL LIBERAL-voturi","FARISEU DUMITRU-ALIANȚA DREAPTA UNITĂ USR - PMP-voturi"
20,GORJ,"CĂMINUL CULTURAL MĂIAG",199,CRUŞEŢ,79932,1,PROV,PRCNCT,P,P_SV,"2024-06-10 05:25:07",648,615,0,14,19,387,354,0,14,19,369,18,700,313,330,15,21,3
20,GORJ,"CĂMINUL CULTURAL SLĂVUȚA",200,CRUŞEŢ,79932,1,PART,PRCNCT,P,P_SV,"2024-06-10 03:58:56",515,485,1,22,7,324,294,1,22,7,312,12,501,177,199,8,94,11
20,GORJ,"ȘCOALA PRIMARĂ CRUȘEȚ",198,CRUŞEŢ,79932,1,PART,PRCNCT,P,P_SV,"2024-06-10 07:30:13",1397,1323,2,47,25,888,816,0,47,25,860,28,1500,612,784,37,28,11
