precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"PARTIDUL SOCIALIST ROMÂN-voturi","UNIUNEA SALVAȚI ROMÂNIA-voturi","FORȚA DREPTEI-voturi","PARTIDUL SOCIAL DEMOCRAT-voturi","PARTIDUL MIȘCAREA POPULARĂ-voturi","PARTIDUL NAȚIONAL LIBERAL-voturi","ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","PARTIDUL S.O.S. ROMÂNIA-voturi"
11,CARAŞ-SEVERIN,"BIBLIOTECA VALERIU LEU",255,GORUIA,52954,3,PART,PRCNCT,CL,CL_SV,"2024-06-11 10:30:51",339,229,1,99,10,267,157,1,99,10,257,10,345,78,10,9,12,32,31,25,133,5
11,CARAŞ-SEVERIN,"CENTRUL LOCAL DE INFORMARE ȘI PROMOVARE TURISTICĂ GORUIA",254,GORUIA,52954,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 03:54:51",364,310,0,43,11,299,245,0,43,11,288,11,373,74,37,20,40,64,3,68,44,12
11,CARAŞ-SEVERIN,"ŞCOALA CU CLASELE I - IV",256,GORUIA,52954,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 02:15:08",163,125,0,34,4,118,80,0,34,4,116,2,169,51,20,6,3,60,13,6,7,1
