precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"ZAMFIR IONEL-ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","VINTILESCU GABRIEL-PARTIDUL NAȚIONAL LIBERAL-voturi","POPESCU BOGDAN-PARTIDUL SOCIAL DEMOCRAT-voturi","MELUŢĂ MARIAN-IULIAN-ALIANȚA DREAPTA UNITĂ USR - PMP - FORȚA DREPTEI-voturi"
23,IALOMIŢA,"CĂMINUL CULTURAL COSÂMBEŞTI",132,COSÂMBEŞTI,93236,1,PART,PRCNCT,P,P_SV,"2024-06-10 10:30:22",817,782,1,16,18,524,489,1,16,18,518,6,872,348,36,180,275,27
23,IALOMIŢA,"GRADINIȚA CU PROGRAM NORMAL GIMBĂŞANI",133,COSÂMBEŞTI,93236,1,PART,PRCNCT,P,P_SV,"2024-06-10 03:40:10",734,713,1,9,11,497,477,0,9,11,483,14,800,303,19,124,175,165
