precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"PARTIDUL SOCIAL DEMOCRAT-voturi","FORUMUL DEMOCRAT AL GERMANILOR DIN ROMÂNIA-voturi","PARTIDUL NAȚIONAL LIBERAL-voturi","ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","PARTIDUL ECOLOGIST ROMÂN-voturi","PARTIDUL UMANIST SOCIAL LIBERAL-voturi","PARTIDUL PATRIOȚILOR-voturi","ALIANȚA DREAPTA UNITĂ USR - PMP - FORȚA DREPTEI-voturi","PARTIDUL S.O.S. ROMÂNIA-voturi"
34,SIBIU,"CASA CORPULUI DIDACTIC",48,"MUNICIPIUL SIBIU",143450,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 06:24:56",1416,1389,16,11,0,658,647,0,11,0,642,16,1551,893,78,196,93,42,14,12,19,171,17
34,SIBIU,"COLEGIU ECONOMIC GEORGE BARIŢIU",66,"MUNICIPIUL SIBIU",143450,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 03:56:56",1127,1119,3,5,0,447,442,0,5,0,431,16,1250,803,77,129,80,31,19,7,9,67,12
34,SIBIU,"COLEGIU ECONOMIC GEORGE BARIŢIU",67,"MUNICIPIUL SIBIU",143450,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 03:07:38",1239,1227,3,9,0,492,483,0,9,0,481,11,1367,875,79,140,90,46,24,5,10,78,9
34,SIBIU,"COLEGIUL AGRICOL DANIIL POPOVICI BARCIANU SIBIU",47,"MUNICIPIUL SIBIU",143450,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 06:59:39",1112,985,56,24,47,478,407,0,24,47,457,21,1152,674,46,121,92,41,24,9,7,95,22
34,SIBIU,"COLEGIUL ECONOMIC GEORGE BARIŢIU, SIBIU",68,"MUNICIPIUL SIBIU",143450,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 05:24:27",1222,1203,12,7,0,585,578,0,7,0,571,14,1340,755,66,175,112,43,25,6,11,122,11
34,SIBIU,"COLEGIUL NAŢIONAL GHEORGHE LAZĂR SIBIU",39,"MUNICIPIUL SIBIU",143450,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 03:44:43",1123,1084,27,12,0,420,408,0,12,0,412,8,1222,794,64,105,64,50,15,17,13,69,15
34,SIBIU,"COLEGIUL NAŢIONAL OCTAVIAN GOGA CU STRUCTURĂ ŞCOALA CU CLASELE I-VIII NR. 15",44,"MUNICIPIUL SIBIU",143450,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 02:33:27",1088,1075,11,2,0,418,414,2,2,0,405,13,1213,795,55,117,74,35,19,5,7,80,13
34,SIBIU,"COLEGIUL NAŢIONAL OCTAVIAN GOGA SIBIU",43,"MUNICIPIUL SIBIU",143450,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 03:39:42",878,860,10,8,0,339,331,0,8,0,330,9,977,638,59,87,52,34,18,2,7,66,5
34,SIBIU,"COLEGIUL NAŢIONAL PEDAGOGIC ANDREI ŞAGUNA",100,"MUNICIPIUL SIBIU",143450,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 11:26:22",1218,1207,3,8,0,501,493,0,8,0,493,8,1334,833,96,120,74,40,23,15,10,105,10
34,SIBIU,"COLEGIUL NAŢIONAL PEDAGOGIC ANDREI ŞAGUNA",101,"MUNICIPIUL SIBIU",143450,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 05:24:23",1115,1104,4,7,0,497,490,0,7,0,485,12,1221,724,93,142,79,33,12,8,15,90,13
