precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"VANCU MARCEL-PARTIDUL SOCIAL DEMOCRAT-voturi","MOLDOVAN ANCA-MIOARA-PARTIDUL S.O.S. ROMÂNIA-voturi"
21,HARGHITA,"ŞCOALA GIMNAZIALĂ TULGHEŞ",271,TULGHEŞ,86133,1,PROV,PRCNCT,P,P_SV,"2024-06-10 06:59:31",1335,1328,1,4,2,546,540,0,4,2,532,14,1400,854,453,79
21,HARGHITA,"ŞCOALA PRIMARĂ PUTNA",272,TULGHEŞ,86133,1,PART,PRCNCT,P,P_SV,"2024-06-10 03:05:02",447,437,0,8,2,225,215,0,8,2,225,0,500,275,200,25
21,HARGHITA,"ŞCOALA PRIMARĂ RECEA",274,TULGHEŞ,86133,1,PART,PRCNCT,P,P_SV,"2024-06-10 01:12:03",209,199,0,7,3,87,77,0,7,3,84,3,300,213,63,21
21,HARGHITA,"ŞCOALA PRIMARĂ VALEA FRUMOASĂ",273,TULGHEŞ,86133,1,PART,PRCNCT,P,P_SV,"2024-06-10 04:14:10",562,557,0,4,1,200,195,0,4,1,195,5,600,400,155,40
