precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"PARTIDUL SOCIAL DEMOCRAT-voturi","ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","PARTIDUL NAȚIONAL LIBERAL-voturi","ALIANȚA DREAPTA UNITĂ USR - PMP - FORȚA DREPTEI-voturi","VASILE SORIN-voturi"
16,DÂMBOVIŢA,"GRĂDINIȚA CU PROGRAM NORMAL NR. 1",321,OCNIŢA,68324,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 04:32:09",1282,1275,0,2,5,794,787,0,2,5,780,14,1409,615,328,91,307,44,10
16,DÂMBOVIŢA,"GRĂDINIȚA CU PROGRAM NORMAL NR 1 OCNIȚA",319,OCNIŢA,68324,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 08:22:24",1268,1257,1,9,1,787,776,1,9,1,773,14,1390,603,374,42,290,56,11
16,DÂMBOVIŢA,"GRADINIȚA CU PROGRAM NORMAL NR 2 FUNDU OCNEI",320,OCNIŢA,68324,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 06:58:21",974,966,2,4,2,570,564,0,4,2,559,11,1070,500,226,51,254,19,9
