precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","PARTIDUL SOCIAL DEMOCRAT-voturi","PARTIDUL NAȚIONAL LIBERAL-voturi","UNIUNEA SALVAȚI ROMÂNIA-voturi"
19,GIURGIU,"GRĂDINIŢA DE COPII COSOBA",105,COSOBA,179748,2,PART,PRCNCT,CL,CL_SV,"2024-06-11 19:48:00",1106,1078,0,15,13,753,725,0,15,13,730,23,1200,447,73,209,238,210
19,GIURGIU,"GRĂDINIŢA DE COPII COSOBA",106,COSOBA,179748,2,PART,PRCNCT,CL,CL_SV,"2024-06-10 08:42:15",1110,1100,0,2,8,758,748,0,2,8,739,19,1206,448,56,235,227,221
