precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"PARTIDUL SOCIAL DEMOCRAT-voturi","PARTIDUL NAȚIONAL LIBERAL-voturi","UNIUNEA SALVAȚI ROMÂNIA-voturi","ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","PARTIDUL ECOLOGIST ROMÂN-voturi","PARTIDUL S.O.S. ROMÂNIA-voturi","PARTIDUL ALTERNATIVA DREAPTĂ-voturi","PARTIDUL NEAMUL ROMÂNESC-voturi","PARTIDUL MIȘCAREA POPULARĂ-voturi","PARTIDUL UMANIST SOCIAL LIBERAL-voturi","PARASCHIV IONEL-CLAUDIU-voturi","STREINU FLORENTIN-voturi"
14,CONSTANŢA,"CASA CĂSĂTORIILOR",327,"ORAŞ NĂVODARI",60507,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 10:08:22",1383,1375,0,7,1,625,617,0,7,1,599,20,1514,895,189,58,54,59,13,30,3,95,60,18,8,12
14,CONSTANŢA,"CASA DE CULTURĂ",329,"ORAŞ NĂVODARI",60507,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 08:35:10",1627,1619,2,6,0,706,700,0,6,0,687,19,1782,1076,221,102,62,67,11,44,4,99,41,17,5,14
14,CONSTANŢA,"CASA DE CULTURĂ",328,"ORAŞ NĂVODARI",60507,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 06:09:46",1401,1359,30,10,2,663,651,0,10,2,643,20,1503,840,216,103,54,67,8,27,3,87,39,14,8,17
14,CONSTANŢA,"CENTRUL DE AFACERI NĂVODARI",332,"ORAŞ NĂVODARI",60507,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 09:31:34",1617,1578,22,17,0,529,512,0,17,0,520,2,1725,1198,134,91,99,62,9,19,5,53,29,7,6,6
14,CONSTANŢA,"CENTRUL DE AFACERI NĂVODARI",333,"ORAŞ NĂVODARI",60507,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 15:37:36",1551,1520,17,14,0,730,716,0,14,0,704,21,1653,928,177,127,137,92,5,29,13,56,41,17,6,4
14,CONSTANŢA,"CLUBUL SINDICATULUI „PETROCHIMISTUL”",324,"ORAŞ NĂVODARI",60507,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 06:01:09",1224,1218,1,5,0,555,550,0,5,0,532,23,1346,791,157,80,48,43,10,23,1,85,54,10,7,14
14,CONSTANŢA,"CREȘA NR. 20 NĂVODARI",330,"ORAŞ NĂVODARI",60507,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 05:47:33",1528,1515,0,11,2,516,503,0,11,2,482,34,1674,1158,138,48,21,68,6,18,5,127,32,7,6,6
14,CONSTANŢA,"GRĂDINIȚA CU PROGRAM PRELUNGIT „VESELIEI”",323,"ORAŞ NĂVODARI",60507,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 11:07:05",1720,1709,0,10,1,779,768,0,10,1,748,31,1872,1093,198,184,54,70,15,50,6,99,32,16,9,15
14,CONSTANŢA,"GRĂDINIȚA ”PEȘTIȘORUL DE AUR”",309,"ORAŞ NĂVODARI",60507,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 08:10:02",1441,1429,1,7,4,615,604,0,7,4,587,15,1600,996,170,70,45,43,13,43,0,111,55,15,10,12
14,CONSTANŢA,"LICEUL TEHNOLOGIC „LAZĂR EDELEANU”",312,"ORAŞ NĂVODARI",60507,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 07:43:37",1596,1585,0,6,5,714,703,0,6,5,664,44,1750,1036,187,67,30,74,11,44,5,171,52,12,6,5
14,CONSTANŢA,"LICEUL TEHNOLOGIC „LAZĂR EDELEANU”",310,"ORAŞ NĂVODARI",60507,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 06:26:26",1198,1191,0,7,0,556,549,0,7,0,546,10,1313,757,149,83,42,62,6,37,6,88,47,9,7,10
14,CONSTANŢA,"LICEUL TEHNOLOGIC „LAZĂR EDELEANU”",311,"ORAŞ NĂVODARI",60507,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 04:21:13",1079,1072,0,3,4,474,467,0,3,4,458,16,1185,711,145,73,42,37,4,27,2,66,38,9,5,10
14,CONSTANŢA,"LICEUL TEHNOLOGIC „LAZĂR EDELEANU”",313,"ORAŞ NĂVODARI",60507,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 06:05:13",1348,1339,0,9,0,580,571,0,9,0,556,21,1475,898,206,52,41,48,9,26,2,102,36,20,3,11
14,CONSTANŢA,"SALA DE SPORT CU NIVEL DE PRACTICĂ ȘCOLARĂ COMPETIȚIONALĂ LOCALĂ",331,"ORAŞ NĂVODARI",60507,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 09:38:14",1526,1513,6,7,0,666,659,0,7,0,644,22,1682,1016,166,84,48,60,12,39,2,114,70,25,7,17
