precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"NEACŞU ŞTEFAN-ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","COCIANU NICUŞOR-PARTIDUL NAȚIONAL LIBERAL-voturi","COCIANU DANIEL-PARTIDUL SOCIAL DEMOCRAT-voturi","MUSTĂŢEA GICU-PARTIDUL S.O.S. ROMÂNIA-voturi","BURGHELEA IULIAN-DAN-FORȚA DREPTEI-voturi"
9,BRĂILA,"CĂMIN CULTURAL",197,GROPENI,43313,1,PROV,PRCNCT,P,P_SV,"2024-06-10 15:29:41",1407,1391,0,7,9,929,913,0,7,9,895,34,1600,663,5,568,292,10,20
9,BRĂILA,"ȘCOALA GIMNAZIALĂ GROPENI",198,GROPENI,43313,1,PROV,PRCNCT,P,P_SV,"2024-06-10 08:28:19",1274,1265,0,7,2,841,841,0,0,0,815,26,1349,508,8,440,316,8,43
