precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"CREŢA OVIDIU-MARIAN-ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","PAPP ATILA-IOSIF-UNIUNEA DEMOCRATĂ MAGHIARĂ DIN ROMÂNIA-voturi","BANICIU ANTON-FLORIN-PARTIDUL NAȚIONAL LIBERAL-voturi","VIDIŢCHI CAMELIA-MARIA-ANA-voturi"
2,ARAD,"CONSILIUL LOCAL IRATOŞU",304,IRATOŞU,11352,2,PART,PRCNCT,P,P_SV,"2024-06-10 10:03:18",1710,1593,7,44,66,1024,912,2,44,66,998,26,1770,746,21,380,356,241
2,ARAD,"ŞCOALA GIMNAZIALĂ VARIAŞU MARE",305,IRATOŞU,11352,3,PART,PRCNCT,P,P_SV,"2024-06-10 03:41:23",439,424,0,9,6,246,231,0,9,6,235,11,470,224,5,63,67,100
2,ARAD,"ŞCOALA GIMNAZIALĂ VARIAŞU MIC",306,IRATOŞU,11352,3,PART,PRCNCT,P,P_SV,"2024-06-10 04:49:24",107,96,0,11,0,63,52,0,11,0,63,0,102,39,3,14,27,19
