precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"ANIŞORAK GABRIELA-ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","IOVĂNUŢ IASMIN-CIPRIAN-ALIANȚA ELECTORALĂ PSD PNL-voturi"
37,TIMIŞ,"CASA DE CULTURĂ BUZAD",336,BOGDA,156035,1,PART,PRCNCT,P,P_SV,"2024-06-10 02:40:01",172,153,0,8,11,129,110,0,8,11,128,0,200,72,7,121
37,TIMIŞ,"SEDIUL PRIMĂRIEI BOGDA",335,BOGDA,156035,1,PART,PRCNCT,P,P_SV,"2024-06-10 05:01:48",264,247,4,8,5,176,162,1,8,5,165,11,263,87,47,118
