precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"PARTIDUL MIȘCAREA ROMÂNIA SUVERANĂ-voturi","PARTIDUL NAȚIONAL LIBERAL-voturi","PARTIDUL SOCIAL DEMOCRAT-voturi","UNIUNEA DEMOCRATĂ MAGHIARĂ DIN ROMÂNIA-voturi","UNIUNEA SALVAȚI ROMÂNIA-voturi","ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi"
15,COVASNA,"CĂMINUL CULTURAL NR.1 ZAGON",206,ZAGON,65011,3,PART,PRCNCT,CL,CL_SV,"2024-06-14 14:45:59",1625,1527,3,23,72,1140,1044,1,23,72,1094,46,1800,660,10,31,60,978,6,9
15,COVASNA,"CĂMINUL CULTURAL PĂPĂUŢI",208,ZAGON,65011,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 04:27:24",989,965,2,3,19,601,579,0,3,19,584,17,1100,499,10,39,140,296,84,15
15,COVASNA,"ŞCOALA PRIMARĂ ”GEORGE COŞBUC” ZAGON",207,ZAGON,65011,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 08:58:32",1475,1456,1,5,13,764,747,0,5,12,688,76,1583,819,67,289,163,99,23,47
