precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"CITIREAG PETRICĂ-ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","CADAR SIMION-TIBERIU-UNIUNEA DEMOCRATĂ MAGHIARĂ DIN ROMÂNIA-voturi","POP OCTAVIAN-LUCIAN-PARTIDUL SOCIAL DEMOCRAT-voturi","ENCIAN VASILE-PARTIDUL NAȚIONAL LIBERAL-voturi"
6,BISTRIŢA-NĂSĂUD,"CĂMINUL CULTURAL BIDIU",176,MATEI,33658,2,PART,PRCNCT,P,P_SV,"2024-06-10 02:37:43",142,133,0,4,5,95,86,0,4,5,84,6,140,50,0,0,58,26
6,BISTRIŢA-NĂSĂUD,"GRĂDINIŢA ENCIU",178,MATEI,33658,1,PART,PRCNCT,P,P_SV,"2024-06-10 01:55:21",92,84,0,4,4,92,84,0,4,4,85,7,150,58,2,0,26,57
6,BISTRIŢA-NĂSĂUD,"ŞCOALA GIMNAZIALĂ CORVINEŞTI",177,MATEI,33658,1,PART,PRCNCT,P,P_SV,"2024-06-10 01:47:44",499,478,0,4,17,332,311,0,4,17,323,9,550,218,9,2,135,177
6,BISTRIŢA-NĂSĂUD,"ŞCOALA GIMNAZIALĂ MATEI",175,MATEI,33658,2,PART,PRCNCT,P,P_SV,"2024-06-10 03:57:14",564,556,0,2,6,426,418,0,2,6,407,18,600,174,0,66,222,119
6,BISTRIŢA-NĂSĂUD,"ŞCOALA PRIMARĂ FÎNTÎNELE",179,MATEI,33658,1,PART,PRCNCT,P,P_SV,"2024-06-10 02:32:14",462,432,1,16,13,344,315,0,16,13,330,14,466,122,3,11,258,58
6,BISTRIŢA-NĂSĂUD,"ŞCOALA PRIMARĂ MORUŢ",180,MATEI,33658,1,PART,PRCNCT,P,P_SV,"2024-06-10 00:35:04",160,151,0,7,2,96,87,0,7,2,93,3,160,64,1,0,71,21
