precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"ENESCU DĂNUŢ-ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","DOBRESCU NICOLAE-CRISTINEL-PARTIDUL NAȚIONAL LIBERAL-voturi","ANGHELACHE MARIUS-BOGDAN-ALIANȚA DREAPTA UNITĂ USR - PMP - FORȚA DREPTEI-voturi","DRĂGHICI EMIL-voturi"
16,DÂMBOVIŢA,"CĂMINUL CULTURAL „ECATERINA OPROIU”",429,VULCANA-BĂI,69615,1,PART,PRCNCT,P,P_SV,"2024-06-10 06:49:53",1346,1299,0,14,33,826,779,0,14,33,800,26,1420,594,40,362,31,367
16,DÂMBOVIŢA,"CĂMINUL CULTURAL „IH RĂDULESCU”",430,VULCANA-BĂI,69615,1,PART,PRCNCT,P,P_SV,"2024-06-10 06:32:49",1152,1118,1,13,20,635,602,0,13,20,600,35,1257,622,16,170,46,368
