precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"PINTEAN IOAN-PARTIDUL NAȚIONAL LIBERAL-voturi","STANA MIHAI-PARTIDUL SOCIAL DEMOCRAT-voturi","RÎB ADRIAN-ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","PÂRV MIHAI-PARTIDUL MIȘCAREA POPULARĂ-voturi"
2,ARAD,"ŞCOALA GIMNAZIALĂ ”MIHAI VELICIU”",371,ŞEPREUŞ,12224,1,PART,PRCNCT,P,P_SV,"2024-06-10 08:34:52",1030,993,0,8,29,617,580,0,8,29,599,18,1123,506,238,85,182,94
2,ARAD,"ŞCOALA GIMNAZIALĂ ”MIHAI VELICIU”",372,ŞEPREUŞ,12224,1,PART,PRCNCT,P,P_SV,"2024-06-10 10:28:14",1185,1157,0,10,18,639,611,0,10,18,599,40,1293,654,191,51,243,114
