precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"DASCĂLU SERGIU-MARIAN-PARTIDUL NAȚIONAL LIBERAL-voturi","NECULAESCU GELU-ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","ŞTEFAN AUREL-PARTIDUL SOCIAL DEMOCRAT-voturi","DĂNILĂ NICULIŢĂ-PARTIDUL MIȘCAREA ROMÂNIA SUVERANĂ-voturi","ROŞCĂNEANU RADU-ALIANȚA DREAPTA UNITĂ USR - PMP - FORȚA DREPTEI-voturi","JUGARIU CONSTANTIN-voturi"
7,BOTOŞANI,"GRADINITA NUMARUL 2 ICUSENI",428,VORONA,39872,1,PROV,PRCNCT,P,P_SV,"2024-06-10 01:50:59",228,219,0,5,4,124,115,0,5,4,122,2,300,176,66,3,48,0,4,1
7,BOTOŞANI,"LICEUL TEHNOLOGIC STEFAN CEL MARE VORONA",426,VORONA,39872,1,PART,PRCNCT,P,P_SV,"2024-06-10 05:46:39",790,776,0,3,11,413,399,0,3,11,391,22,850,437,182,23,173,1,7,5
7,BOTOŞANI,"SCOALA CU CLASELE I-VIII ALEXANDRU CEL BUN ICUSENI",429,VORONA,39872,1,PROV,PRCNCT,P,P_SV,"2024-06-10 03:43:01",781,769,0,3,9,358,346,0,3,9,337,21,900,521,238,26,57,4,6,6
7,BOTOŞANI,"SCOALA CU CLASELE I-VIII IONITA PANCUL VORONA",427,VORONA,39872,1,PROV,PRCNCT,P,P_SV,"2024-06-10 08:23:17",486,476,0,5,5,236,226,0,5,5,220,10,550,320,119,18,78,3,2,0
7,BOTOŞANI,"SCOALA CU CLASELE I-VIII LUCA ARBORE VORONA MARE",432,VORONA,39872,1,PROV,PRCNCT,P,P_SV,"2024-06-10 07:52:17",996,980,1,3,12,492,477,0,3,12,478,14,1100,608,193,36,228,7,5,9
7,BOTOŞANI,"SCOALA CU CLASELE I-VIII NICOLAE IORGA POIANA",431,VORONA,39872,1,PART,PRCNCT,P,P_SV,"2024-06-10 04:37:12",968,950,0,4,14,478,460,0,4,14,453,25,1000,522,272,19,143,5,11,3
7,BOTOŞANI,"SCOALA CU CLASELE I-VIII RALUCA IURASCU JOLDESTI",430,VORONA,39872,1,PART,PRCNCT,P,P_SV,"2024-06-10 04:16:50",1020,1000,1,2,17,519,499,1,2,17,483,36,1100,581,254,21,184,9,3,12
7,BOTOŞANI,"ŞCOALA GIMNAZIALĂ ” AL. I. CUZA” VORONA",425,VORONA,39872,1,PROV,PRCNCT,P,P_SV,"2024-06-10 04:47:02",781,771,2,3,5,354,345,1,3,5,336,18,855,501,162,48,78,23,24,1
