precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"SOLOMON VASILE-ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","BĂBUŢĂ VASILE-PARTIDUL SOCIAL DEMOCRAT-voturi","POPA CONSTANTIN-DRAGOŞ-PARTIDUL NAȚIONAL LIBERAL-voturi"
29,NEAMŢ,"SCOALA GIMNAZIALA GADINTI (CORP 1)",278,GÂDINŢI,125150,2,PART,PRCNCT,P,P_SV,"2024-06-10 05:04:23",977,972,0,0,5,450,445,0,0,5,436,14,1100,650,28,227,181
29,NEAMŢ,"SCOALA GIMNAZIALA GADINTI (CORP 2)",279,GÂDINŢI,125150,2,PART,PRCNCT,P,P_SV,"2024-06-10 08:59:53",1066,1057,0,4,5,561,552,0,4,5,550,11,1200,639,39,230,281
