precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"DICA-CONDEI GHEORGHE-VIOREL-UNIUNEA SALVAȚI ROMÂNIA-voturi","NIŢU MARIN-PARTIDUL SOCIAL DEMOCRAT-voturi","MATEI NICOLAE-FLORIAN-PARTIDUL NAȚIONAL LIBERAL-voturi","BĂDOI ANIŞOARA-ADRIANA-ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","VANCEA CONSTANŢA-PARTIDUL S.O.S. ROMÂNIA-voturi","BANU CRISTINEL-FORȚA DREPTEI-voturi"
17,DOLJ,"CĂMINUL CULTURAL TEASC",502,TEASC,74322,1,PART,PRCNCT,P,P_SV,"2024-06-10 15:11:20",1336,1297,0,15,24,974,935,0,15,24,924,50,1404,430,22,452,396,51,1,2
17,DOLJ,"ŞCOALA GIMNAZIALĂ SECUI",503,TEASC,74322,1,PART,PRCNCT,P,P_SV,"2024-06-10 14:17:31",1266,1224,0,30,12,865,823,0,30,12,841,24,1400,535,0,450,356,8,18,9
