precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","PARTIDUL NAȚIONAL LIBERAL-voturi","PARTIDUL SOCIAL DEMOCRAT-voturi","ASOCIAȚIA PARTIDA ROMILOR ""PRO-EUROPA""-voturi","PARTIDUL ECOLOGIST ROMÂN-voturi","RADU IOANA-voturi"
16,DÂMBOVIŢA,"GRĂDINIȚA BRÂNCOVEANU",323,ODOBEŞTI,68342,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 04:40:22",496,495,0,1,0,353,352,0,1,0,351,2,545,192,17,124,168,0,10,32
16,DÂMBOVIŢA,"ȘCOALA GIMNAZIALĂ CROVU",324,ODOBEŞTI,68342,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 07:37:14",1107,1102,0,4,1,798,793,0,4,1,656,142,1213,415,14,187,326,36,68,25
16,DÂMBOVIŢA,"ȘCOALA GIMNAZIALĂ ODOBEȘTI",322,ODOBEŞTI,68342,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 04:35:48",1287,1270,2,15,0,928,913,0,15,0,881,47,1394,466,66,336,427,8,17,27
16,DÂMBOVIŢA,"ȘCOALA PRIMARĂ MIULEȘTI",325,ODOBEŞTI,68342,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 03:27:11",448,443,0,5,0,323,318,0,5,0,306,17,487,164,9,132,143,7,7,8
16,DÂMBOVIŢA,"ȘCOALA PRIMARĂ ZIDURILE",326,ODOBEŞTI,68342,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 06:36:40",660,650,0,9,1,471,461,0,9,1,451,20,715,244,13,128,221,0,81,8
