precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"PARTIDUL NAȚIONAL LIBERAL-voturi","UNIUNEA SALVAȚI ROMÂNIA-voturi","PARTIDUL SOCIAL DEMOCRAT-voturi","TROCAN CONSTANTIN-IULIAN-voturi"
3,ARGEŞ,"CAMINUL CULTURAL NEGRENI",334,DÂRMĂNEŞTI,16365,2,PART,PRCNCT,CL,CL_SV,"2024-06-10 05:16:11",535,526,0,9,0,347,338,0,9,0,338,9,562,215,51,11,202,74
3,ARGEŞ,"ŞCOALA DÎRMĂNEŞTI",333,DÂRMĂNEŞTI,16365,2,PART,PRCNCT,CL,CL_SV,"2024-06-10 07:49:19",985,981,0,3,1,551,547,0,3,1,537,14,1100,540,81,67,297,92
3,ARGEŞ,"ŞCOALA PISCANI",335,DÂRMĂNEŞTI,16365,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 04:55:36",773,769,0,4,0,442,438,0,4,0,431,11,863,421,25,56,229,121
3,ARGEŞ,"ŞCOALA VALEA NANDRII",336,DÂRMĂNEŞTI,16365,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 04:12:11",543,541,0,2,0,318,316,0,2,0,302,16,570,252,81,25,157,39
