precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"UNIUNEA DEMOCRATĂ MAGHIARĂ DIN ROMÂNIA-voturi","ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","PARTIDUL SOCIAL DEMOCRAT-voturi","PARTIDUL NAȚIONAL LIBERAL-voturi","PARTIDUL MIȘCAREA POPULARĂ-voturi","PARTIDUL PRO ROMÂNIA-voturi","ZSIGMOND AMBRUS-voturi"
28,MUREŞ,"CĂMIN CULTURAL",290,BRÂNCOVENEŞTI,115897,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 03:48:50",369,361,0,4,4,188,180,0,4,4,174,14,400,212,10,70,26,4,12,51,1
28,MUREŞ,"CLUB-CĂMIN CULTURAL",292,BRÂNCOVENEŞTI,115897,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 01:35:24",1040,995,1,6,38,544,500,0,6,38,521,23,1090,546,326,7,9,2,5,2,170
28,MUREŞ,"ȘCOALA PRIMARĂ",289,BRÂNCOVENEŞTI,115897,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 04:19:38",319,308,0,8,3,175,165,0,7,3,158,17,340,165,3,36,46,9,7,57,0
28,MUREŞ,"ȘCOALA PRIMARĂ",288,BRÂNCOVENEŞTI,115897,2,PART,PRCNCT,CL,CL_SV,"2024-06-10 07:41:39",1341,1295,0,10,36,615,569,0,10,36,579,36,1420,805,404,32,27,42,38,29,7
28,MUREŞ,"ȘCOALA PRIMARĂ",291,BRÂNCOVENEŞTI,115897,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 00:53:43",263,256,1,6,0,112,106,0,6,0,106,6,298,186,8,23,16,9,43,4,3
