precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"RADU ION-PARTIDUL NAȚIONAL LIBERAL-voturi","ŞICĂ ION-PARTIDUL SOCIAL DEMOCRAT-voturi"
31,PRAHOVA,"ŞCOALA CU CLASELE I-IV",310,BĂLŢEŞTI,132271,1,PART,PRCNCT,P,P_SV,"2024-06-10 12:27:53",1554,1499,1,29,25,953,908,1,29,15,934,19,1700,747,720,214
31,PRAHOVA,"ŞCOALA PODENII VECHI",311,BĂLŢEŞTI,132271,1,PART,PRCNCT,P,P_SV,"2024-06-10 08:55:25",1398,1364,0,24,10,989,955,0,24,10,969,20,1472,483,349,620
