precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"DOROBANŢU GIGI-PARTIDUL SOCIAL DEMOCRAT-voturi","PAVEL OVIDIU-ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","MORUZI BENONI-PARTIDUL NAȚIONAL LIBERAL-voturi","COJAN LIVIA-PARTIDUL UMANIST SOCIAL LIBERAL-voturi","GHIŢONIC GHEORGHE-MARIAN-ALIANȚA DREAPTA UNITĂ USR - PMP-voturi","GÂNGĂ MARICICA-PARTIDUL PRO ROMÂNIA-voturi","SIMION CIPRIAN-voturi"
24,IAŞI,"BAZA SPORTIVĂ MULTIFUNCȚIONALĂ - ȘOROGARI",328,ARONEANU,95747,1,PART,PRCNCT,P,P_SV,"2024-06-10 04:38:13",382,372,2,6,2,190,182,0,6,2,187,3,441,251,32,17,105,6,25,0,2
24,IAŞI,"ȘCOALA GIMNAZIALĂ ARON-VODA DIN SAT ARONEANU",325,ARONEANU,95747,1,PART,PRCNCT,P,P_SV,"2024-06-10 07:02:54",1803,1760,6,21,16,1129,1090,2,21,16,1106,23,1900,771,127,86,558,51,181,4,99
24,IAŞI,"ȘCOALA GIMNAZIALĂ ARON-VODĂ DIN SAT DOROBANȚ",326,ARONEANU,95747,1,PROV,PRCNCT,P,P_SV,"2024-06-10 09:01:41",1278,1258,1,5,14,691,672,0,5,14,660,31,1400,709,91,77,329,34,84,19,26
24,IAŞI,"ȘCOALA GIMNAZIALĂ ARON-VODĂ DIN SAT REDIU ALDEI",327,ARONEANU,95747,1,PART,PRCNCT,P,P_SV,"2024-06-10 03:15:33",401,379,0,8,14,278,256,0,8,14,263,15,400,122,17,15,212,7,7,0,5
