precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"COLDEA PETRICĂ-HORICĂ-PARTIDUL NAȚIONAL LIBERAL-voturi","CONDOR IOAN-PARTIDUL SOCIAL DEMOCRAT-voturi","TOŞA CĂLIN-PAUL-ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi"
13,CLUJ,"CĂMINUL CULTURAL BEDECIU",533,MĂNĂSTIRENI,58393,1,PART,PRCNCT,P,P_SV,"2024-06-10 04:26:08",421,394,0,19,8,315,288,0,19,8,303,12,447,132,63,172,68
13,CLUJ,"PRIMĂRIA COMUNEI",532,MĂNĂSTIRENI,58393,2,PART,PRCNCT,P,P_SV,"2024-06-10 07:57:25",785,716,4,45,20,559,493,1,45,20,542,16,787,228,182,349,11
