precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"PARTIDUL NAȚIONAL LIBERAL-voturi","ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","PARTIDUL SOCIAL DEMOCRAT-voturi","PARTIDUL UMANIST SOCIAL LIBERAL-voturi","PARTIDUL S.O.S. ROMÂNIA-voturi"
12,CĂLĂRAŞI,"GRADINITA CU PROGRAM NORMAL NR. 3 BORCEA",87,BORCEA,92961,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 05:26:29",834,805,0,15,14,464,435,0,15,14,455,9,907,443,306,26,98,18,7
12,CĂLĂRAŞI,"LICEUL TEHNOLOGIC NR. 1 BORCEA CLASELE I-IV SALA A",88,BORCEA,92961,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 09:29:36",1488,1448,0,16,24,857,817,0,16,24,831,26,1631,774,646,37,101,26,21
12,CĂLĂRAŞI,"LICEUL TEHNOLOGIC NR. 1 BORCEA CLASELE I-IV SALA B",89,BORCEA,92961,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 06:50:14",1379,1353,0,7,19,762,736,0,7,19,726,36,1523,761,523,36,132,14,21
12,CĂLĂRAŞI,"SCOALA GIMNAZIALA NR. 2 BORCEA",90,BORCEA,92961,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 08:41:11",1656,1628,1,8,19,877,849,1,8,19,853,24,1830,953,598,58,146,17,34
12,CĂLĂRAŞI,"SCOALA GIMNAZIALA NR. 3 BORCEA",86,BORCEA,92961,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 07:46:10",1006,980,0,15,11,518,492,0,15,11,505,13,1113,595,350,31,91,21,12
