precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"PARTIDUL NAȚIONAL LIBERAL-voturi","PARTIDUL SOCIAL DEMOCRAT-voturi","UNIUNEA SALVAȚI ROMÂNIA-voturi"
19,GIURGIU,"ŞCOALA GIMNAZIALĂ NR. 1 MÂRŞA",176,MÂRŞA,104225,2,PART,PRCNCT,CL,CL_SV,"2024-06-11 15:35:46",949,885,0,15,49,655,591,0,15,49,637,18,1026,371,472,27,138
19,GIURGIU,"ŞCOALA GIMNAZIALĂ NR. 1 MÂRŞA",177,MÂRŞA,104225,3,PART,PRCNCT,CL,CL_SV,"2024-06-11 15:40:31",1180,1144,0,8,28,817,781,0,8,28,803,14,1289,472,583,88,132
