precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"PARTIDUL SOCIAL DEMOCRAT-voturi","PARTIDUL NAȚIONAL LIBERAL-voturi","UNIUNEA DEMOCRATĂ MAGHIARĂ DIN ROMÂNIA-voturi","PARTIDUL MIȘCAREA POPULARĂ-voturi"
8,BRAŞOV,"CĂMINUL CULTURAL TICUŞU VECHI",443,TICUŞU,42076,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 03:40:05",617,605,1,10,1,422,411,0,10,1,365,57,665,243,143,166,7,49
8,BRAŞOV,"ŞCOALA PRIMARĂ COBOR",444,TICUŞU,42076,2,PART,PRCNCT,CL,CL_SV,"2024-06-10 06:59:03",186,175,3,5,3,132,121,3,5,3,126,6,200,68,50,37,18,21
