precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"UNIUNEA SALVAȚI ROMÂNIA-voturi","PARTIDUL NAȚIONAL LIBERAL-voturi","PARTIDUL SOCIAL DEMOCRAT-voturi"
17,DOLJ,"CENTRUL CULTURAL",292,CÂRCEA,74859,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 07:02:42",2105,1946,12,107,40,1369,1221,1,107,40,1333,36,2080,711,85,245,1003
17,DOLJ,"LICEUL TEHNOLOGIC ”CONSTANTIN IANCULESCU”",293,CÂRCEA,74859,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 06:14:11",1324,1253,8,49,14,767,704,0,49,14,735,32,1400,633,70,163,502
