precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"UNIUNEA DEMOCRATĂ MAGHIARĂ DIN ROMÂNIA-voturi","UNIUNEA SALVAȚI ROMÂNIA-voturi","PARTIDUL NAȚIONAL LIBERAL-voturi","ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","PARTIDUL SOCIAL DEMOCRAT-voturi","ALIANȚA MAGHIARĂ DIN TRANSILVANIA - ERDÉLYI MAGYAR SZÖVETSÉG-voturi","NEGREA EMIL-CLAUDIU-voturi"
28,MUREŞ,"FOSTA ŞCOALĂ GENERALĂ LUIERIU",538,SUSENI,119723,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 06:58:05",497,478,0,7,12,343,324,0,7,12,318,25,540,197,2,0,108,63,138,7,0
28,MUREŞ,"ŞCOALA GIMNAZIALĂ SUSENI",537,SUSENI,119723,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 12:28:51",1498,1454,2,27,15,941,899,0,27,15,868,73,1598,657,165,30,283,34,229,105,22
