precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"MANDACHE DANIEL-PARTIDUL NAȚIONAL LIBERAL-voturi","RADU NICOLAE-PARTIDUL SOCIAL DEMOCRAT-voturi","POPA DANIEL-ALIANȚA DREAPTA UNITĂ USR - PMP - FORȚA DREPTEI-voturi"
23,IALOMIŢA,"ŞCOALA GIMNAZIALĂ BĂRCĂNEŞTI-CORP A",110,BĂRCĂNEŞTI,101056,1,PROV,PRCNCT,P,P_SV,"2024-06-10 11:14:13",1268,1224,2,37,5,887,844,1,37,5,864,23,1350,463,96,667,101
23,IALOMIŢA,"ŞCOALA PRIMARĂ CONDEEŞTI",111,BĂRCĂNEŞTI,101056,1,PROV,PRCNCT,P,P_SV,"2024-06-10 08:01:42",1397,1378,0,13,6,841,822,0,13,6,798,43,1519,678,328,404,66
