precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"PARTIDUL SOCIAL DEMOCRAT-voturi","PARTIDUL MIȘCAREA POPULARĂ-voturi","FORȚA DREPTEI-voturi"
31,PRAHOVA,"CAMINUL CULTURAL",543,SĂLCIILE,135146,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 09:18:09",733,583,0,85,65,580,430,0,85,65,555,23,704,126,268,39,248
31,PRAHOVA,"ȘCOALA GIMNAZIALĂ COMUNA SĂLCIILE",542,SĂLCIILE,135146,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 13:41:22",760,606,0,97,57,607,453,0,97,57,596,11,729,122,292,66,238
