precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"CURTUIUŞ VASILE-PARTIDUL NAȚIONAL LIBERAL-voturi","BOB DUMITRU-ADRIAN-ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","MONIŢA IOAN-PARTIDUL SOCIAL DEMOCRAT-voturi"
6,BISTRIŢA-NĂSĂUD,"GRĂDINIȚA CU PROGRAM NORMAL DEALU ŞTEFĂNIŢEI",235,ROMULI,34360,1,PART,PRCNCT,P,P_SV,"2024-06-10 01:25:36",379,364,0,4,11,291,276,0,4,11,288,3,400,109,91,26,171
6,BISTRIŢA-NĂSĂUD,"ŞCOALA GIMNAZIALĂ CLASELE I-VIII, ROMULI",234,ROMULI,34360,1,PART,PRCNCT,P,P_SV,"2024-06-10 05:34:21",1066,1020,0,4,42,749,703,0,4,42,739,10,1100,351,147,123,469
