precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"UNIUNEA DEMOCRATĂ MAGHIARĂ DIN ROMÂNIA-voturi","PARTIDUL SOCIAL DEMOCRAT-voturi","PARTIDUL NAȚIONAL LIBERAL-voturi","UNIUNEA SALVAȚI ROMÂNIA-voturi","ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","PARTIDUL S.O.S. ROMÂNIA-voturi","PARTIDUL PATRIOȚII POPORULUI ROMÂN-voturi"
5,BIHOR,"GRĂDINIȚA TALPOȘ",244,BATĂR,27383,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 07:00:12",1390,1377,0,11,2,720,707,0,11,2,667,53,1516,792,10,479,89,13,18,32,26
5,BIHOR,"ȘCOALA GIMNAZIALĂ NR.1 BATĂR",242,BATĂR,27383,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 05:29:21",697,670,1,16,10,697,670,1,16,10,609,88,1486,789,9,266,167,42,26,14,85
5,BIHOR,"ŞCOALA GIMNAZIALĂ NR.3",245,BATĂR,27383,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 02:40:04",754,714,0,17,23,485,445,0,17,23,474,11,816,331,6,329,44,12,37,12,34
5,BIHOR,"ȘCOALA GIMNAZIALĂ NR. 4 ARPĂȘEL",243,BATĂR,27383,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 02:32:18",320,308,1,7,4,320,308,1,7,4,309,11,804,484,200,31,42,3,19,2,12
