precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"SUCIU VASILE-PARTIDUL NAȚIONAL LIBERAL-voturi","ROMAN IOAN-ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","KIS LORÁND-ENDRE-UNIUNEA DEMOCRATĂ MAGHIARĂ DIN ROMÂNIA-voturi"
32,"SATU MARE","ȘCOALA GIMNAZIALĂ PIR",262,PIR,138538,1,PART,PRCNCT,P,P_SV,"2024-06-10 07:58:48",1134,1118,0,6,10,753,737,0,6,10,700,53,1200,447,252,38,410
32,"SATU MARE","SCOALA PRIMARA",263,PIR,138538,1,PART,PRCNCT,P,P_SV,"2024-06-10 01:28:38",114,98,0,6,10,69,53,0,6,10,66,3,133,64,16,5,45
