precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"PUŞCAŞ RADU-PARTIDUL SOCIAL DEMOCRAT-voturi","SABOU FLORIN-ALEXANDRU-ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","NAGY SÁNDOR-UNIUNEA DEMOCRATĂ MAGHIARĂ DIN ROMÂNIA-voturi","BOJAN AUREL-PARTIDUL NAȚIONAL LIBERAL-voturi"
32,"SATU MARE","CĂMIN CULTURAL BABȚA",151,BOGDAND,137130,1,PART,PRCNCT,P,P_SV,"2024-06-10 06:41:02",526,478,0,22,26,351,303,0,22,26,340,11,556,205,86,34,3,217
32,"SATU MARE","PRIMARIA COMUNEI BOGDAND",150,BOGDAND,137130,1,PART,PRCNCT,P,P_SV,"2024-06-10 05:22:16",780,753,0,3,24,436,409,0,3,24,417,19,800,364,22,4,306,85
32,"SATU MARE","ŞCOALA CU CLASELE I-IV",153,BOGDAND,137130,2,PART,PRCNCT,P,P_SV,"2024-06-10 06:47:23",569,548,0,9,12,288,267,0,9,12,271,17,600,312,12,16,133,110
32,"SATU MARE","ŞCOALA CU CLASELE I-VIII",152,BOGDAND,137130,1,PART,PRCNCT,P,P_SV,"2024-06-10 04:21:13",381,358,0,8,15,250,227,0,8,15,244,6,400,150,8,88,4,144
